County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,Full-time enrollment,Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may exhibit anomalies due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change,Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days,Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change,Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago,Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecast case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,10039107,0.7597,0.2541,0.0302,11,260018,0.0259,0.0605,91471,911,495,4.9,0.49,0.47,0.04160823288126525,61593,614,337,3.4,567249,8572,7,0,SustainedHotspot,Recent,,,,,,,,,,0.121,519870,5178,,,0.03,0.22,,,0.09,425668,4240,,,0.108335817,0.159872234,0.140824577,3,0.079516933,0.486295245,0.01,0.153942477,0.7682,0.489335,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,Region 9,4485414,0.9065,0.6162,0.0135,3,83484,0.0186,0.0177,26779,597,234,5.2,0.11,0.32,0.01623378378013224,24031,536,177,3.9,266196,4447,4,0,SustainedHotspot,Recent,0.167,161567,3602,1,0.92,0.021,0,0,-0.03,0.147,162284,3618,1,0.95,0.017,0.06,-1,0.1,0.13,153587,3424,2,0.85,0.110917741,0.147436561,0.155243418,2.76,0.055936643,0.314096982,0.03,0.0463081,0.6354,0.219675,Uncertain
"San Bernardino County, CA",6071,Large fringe metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2180085,0.4688,0.0552,0.0066,1,24628,0.0113,0.0172,26030,1194,96,4.4,0.75,0.33,0.01003912699249075,14861,682,72,3.3,137548,1304,8,0,SustainedHotspot,Continuing,,,,,,,,,,0.165,101272,4645,,,0.01,0.52,,,0.155,66460,3049,,,0.09371372,0.173415965,0.119499928,3.3,0.081083536,0.544386113,0.02,0.079595979,0.9009999999999999,0.57816,Uncertain
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2470546,0.5312,0.0625,0.0074,2,33576,0.0136,0.016,24202,980,127,5.1,0.27,0.34,0.01289596489379237,19090,773,95,3.8,131822,1666,10,0,SustainedHotspot,Continuing,,,,,,,,,,0.169,87648,3548,,,0.103,0.49,,,0.066,58798,2380,,,0.100478714,0.147538486,0.148121913,3.27,0.062192325,0.50030722,0.02,0.07153277,0.7939,0.558739,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,Region 5,5150233,0.5445,0.4064,0.0155,7,135244,0.0263,0.0146,22024,428,371,7.2,-0.08,0.01,0.01618514525355534,23959,465,366,7.1,360117,7505,0,21,SustainedHotspot,,0.131,167770,3258,1,0.97,-0.011,-0.09,1,-0.02,0.141,184312,3579,0,0.99,0.003,0.07,-1,0.1,0.139,171872,3337,1,0.89,0.09508014199999999,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.01,0.079057394,0.6755,0.733843,Uncertain
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,3175692,0.2403,0.0804,0.0096,3,81888,0.0258,0.0131,19767,622,85,2.7,0.57,0.55,0.008494853773674127,12575,396,55,1.7,112893,1718,8,0,SustainedHotspot,Recent,,,,,,,,,,0.125,102433,3226,,,0.02,0.33,,,0.105,77301,2434,,,0.084408242,0.115023403,0.152901478,3.02,0.016606774,0.340426905,0.01,0.217162433,0.4191,0.466094,Uncertain
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,Region 9,3338330,1,0.0845,0.0101,4,91421,0.0274,0.011,16699,500,114,3.4,0.29,0.68,0.008721833564366335,12911,387,68,2,114248,1217,2,0,SustainedHotspot,Recent,,,,,,,,,,0.001,123427,3697,,,-0.012,0.3,,,0.012,95192,2851,,,0.087253742,0.126316655,0.145118068,2.87,0.047063352,0.341497995,0.01,0.125809012,0.5596,0.2773,Likely Increase
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,Region 4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0103,15630,575,87,3.2,0.04,0.24,0.01012559548418302,14989,552,70,2.6,264673,4017,0,0,SustainedHotspot,,0.126,157074,5781,,,0.005,-0.08,,,0.121,171103,6298,,,-0.001,0.2,,,0.122,143093,5267,,,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0,0.016235544,0.8175,0.81439,Uncertain
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2635516,0.348,0.0909,0.0079,2,40184,0.0152,0.0092,13942,529,37,1.4,0.31,0.32,0.00720863495975162,10671,405,28,1.1,166230,1765,0,0,SustainedHotspot,,0.15,58508,2220,2,0.9,0.008,-0.17,1,-0.04,0.141,70152,2662,1,0.94,-0.003,0.1,-1,0.04,0.145,63745,2419,2,0.9,0.210484178,0.165861601,0.110838637,2.79,0.226737383,0.407584321,0.01,0.067248691,0.7538,0.6001270000000001,Uncertain
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,Region 9,2266715,1,0.7359,0.0068,1,21541,0.0095,0.0087,13081,577,180,7.9,-0.04,0.78,0.009209569900318041,13633,601,101,4.5,146723,2080,0,0,SustainedHotspot,,0.209,72013,3177,1,0.92,-0.009,-0.11,0,0,0.218,80888,3569,1,0.92,0.023,0.19,-1,0.12,0.195,68096,3004,2,0.8,0.125284567,0.141797624,0.151169865,2.76,0.11877232,0.316439429,0.01,0.103565292,0.7404,0.633875,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,Region 6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0074,11190,237,75,1.6,0.33,-0.06,0.005679223512944603,8407,178,80,1.7,212686,3178,0,0,SustainedHotspot,,0.114,97388,2066,1,0.91,0.007,-0.09,0,-0.03,0.108,106492,2259,1,0.94,0.013,0.02,0,0,0.095,104384,2215,1,0.94,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.5571470000000001,Uncertain
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2102515,0.2776,0.0725,0.0063,2,36456,0.0173,0.0067,10159,483,87,4.1,-0.03,0.36,0.007079607757304561,10480,498,64,3,124420,1205,2,0,SustainedHotspot,Recent,0.184,54079,2572,2,0.84,0.015,0.04,0,-0.09,0.169,52092,2478,2,0.93,0.011,-0.03,0,0.01,0.158,53926,2565,2,0.92,0.163263168,0.129586195,0.116294533,2.86,0.17010057,0.294747005,0.01,0.058096613,0.5475,0.343203,Uncertain
"Santa Clara County, CA",6085,Large central metro,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan,CA,Region 9,1927852,0.9684,0.0488,0.0058,3,51162,0.0265,0.0054,8232,427,46,2.4,0.17,0.59,0.004766575604536354,7056,366,29,1.5,51233,561,5,0,SustainedHotspot,Recent,,,,,,,,,,0.067,100000,5187,,,0.019,0.26,,,0.048,79611,4130,,,0.047954462,0.079226609,0.139122194,2.97,0.023652231,0.250173769,0.01,0.390195928,0.3557,0.154728,Uncertain
"Suffolk County, NY",36103,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1476601,0.0768,0.0759,0.0044,2,29422,0.0199,0.0051,7685,520,46,3.1,0.05,0.35,0.004964507386300688,7349,498,34,2.3,77681,2139,4,0,SustainedHotspot,Recent,0.079,83683,5667,2,0.91,0.006,-0.03,0,0,0.074,85831,5813,2,0.91,0.019,0.07,0,0.16,0.054,80224,5433,2,0.75,0.05402627099999999,0.071186259,0.173331184,2.99,0.074663365,0.202105376,0.01,0.04227614599999999,0.2146,0.282394,Uncertain
"Allegheny County, PA",42003,Large central metro,"Pittsburgh, PA",Metropolitan,PA,Region 3,1216045,0.5247,0.095,0.0037,3,61133,0.0503,0.0049,7466,614,133,10.9,0.24,0.85,0.004070774460450123,6026,496,72,5.9,43007,741,2,0,SustainedHotspot,Recent,0.134,43097,3544,2,0.73,-0.001,0,0,-0.03,0.134,43062,3541,2,0.76,0.021,0.09,-1,0.09,0.113,39656,3261,3,0.67,0.043281192,0.121497679,0.19347886,2.21,0.131850384,0.022657056,0,0.042032984,0.2506,0.109519,Uncertain
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,2253858,0.1173,0.1159,0.0068,2,29190,0.013,0.0049,7446,330,36,1.6,0.17,0.44,0.004282216944041376,6339,281,25,1.1,105740,7424,0,0,SustainedHotspot,,0.07,148803,6602,1,0.95,0.004,0.05,0,0,0.066,142382,6317,1,0.95,0.009,0.12,0,0.09,0.057,127187,5643,1,0.86,0.105344436,0.129925762,0.163423339,2.91,0.179260628,0.28170985,0.01,0.269030702,0.6201,0.832219,Likely Increase
