County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,Full-time enrollment,Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,10039107,0.7597,0.2541,0.0302,11,260018,0.0259,0.0786,98670,983,629,6.3,-0.05,0.07,0.06857527671045471,103460,1031,590,5.9,734860,9564,1,0,SustainedHotspot,Recent,,37131,370,,,,-0.94,,,0.164,572340,5701,,,0.024,-0.02,,,0.141,584304,5820,,,0.108335817,0.159872234,0.140824577,3,0.079516933,0.486295245,0.01,0.153942477,0.7682,0.489335,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,Region 9,4485414,0.9065,0.6162,0.0135,3,83484,0.0186,0.0201,25275,563,263,5.9,0.06,-0.21,0.0157757603033591,23801,531,332,7.4,309737,4948,0,2,SustainedHotspot,,0.184,102701,2290,1,0.91,0.032,-0.36,0,-0.05,0.152,160276,3573,1,0.96,-0.008,-0.02,0,0.04,0.16,163879,3654,1,0.92,0.110917741,0.147436561,0.155243418,2.76,0.055936643,0.314096982,0.03,0.0463081,0.6354,0.219675,Uncertain
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2470546,0.5312,0.0625,0.0074,2,33576,0.0136,0.0192,24055,974,117,4.7,-0.22,-0.3,0.02036909751197549,30731,1244,167,6.8,174477,1870,3,0,SustainedHotspot,Recent,,19891,805,,,,-0.82,,,0.228,111153,4499,,,0.038,0.06,,,0.19,104774,4241,,,0.100478714,0.147538486,0.148121913,3.27,0.062192325,0.50030722,0.02,0.07153277,0.7939,0.558739,Uncertain
"San Bernardino County, CA",6071,Large fringe metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2180085,0.4688,0.0552,0.0066,1,24628,0.0113,0.0182,22831,1047,62,2.8,-0.37,-0.54,0.02396356615300387,36154,1658,134,6.1,186776,1437,7,0,SustainedHotspot,Recent,,15258,700,,,,-0.88,,,0.231,127763,5860,,,0.062,0.12,,,0.169,114000,5229,,,0.09371372,0.173415965,0.119499928,3.3,0.081083536,0.544386113,0.02,0.079595979,0.901,0.57816,Uncertain
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,3175692,0.2403,0.0804,0.0096,3,81888,0.0258,0.0166,20827,656,69,2.2,-0.1,-0.17,0.01525544721407139,23016,725,83,2.6,149607,1846,1,0,SustainedHotspot,Recent,,23898,753,,,,-0.83,,,0.176,137761,4338,,,0.028,0.13,,,0.149,121722,3833,,,0.084408242,0.115023403,0.152901478,3.02,0.016606774,0.340426905,0.01,0.217162433,0.4191,0.466094,Uncertain
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,Region 9,3338330,1,0.0845,0.0101,4,91421,0.0274,0.0142,17813,534,121,3.6,-0.12,0,0.01334851631231246,20139,603,121,3.6,147530,1404,0,0,SustainedHotspot,,,27451,822,,,,-0.83,,,0.13,160487,4807,,,0.124,0.24,,,0.007,129409,3876,,,0.087253742,0.126316655,0.145118068,2.87,0.047063352,0.341497995,0.01,0.125809012,0.5596,0.2773,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,Region 4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0111,13949,513,60,2.2,-0.14,-0.35,0.01078804565763929,16276,599,93,3.4,290363,4155,0,3,SustainedHotspot,,0.116,156242,5751,,,-0.006,-0.11,,,0.121,176138,6483,,,-0.002,0.03,,,0.124,171468,6311,,,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0,0.016235544,0.8175,0.81439,Uncertain
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2635516,0.348,0.0909,0.0079,2,40184,0.0152,0.0108,13583,515,95,3.6,0.07,-0.16,0.00841449002357648,12695,482,113,4.3,188123,1936,0,0,SustainedHotspot,,0.168,40560,1539,2,0.84,0.006,-0.39,0,-0.08,0.162,66691,2530,2,0.92,0.015,-0.06,0,0.01,0.146,71267,2704,2,0.91,0.210484178,0.165861601,0.110838637,2.79,0.226737383,0.407584321,0.01,0.067248691,0.7538,0.6001270000000001,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,Region 5,5150233,0.5445,0.4064,0.0155,7,135244,0.0263,0.0107,13461,261,335,6.5,-0.23,-0.07,0.01162651197349784,17541,341,362,7,386469,8137,0,33,SustainedHotspot,,0.101,134298,2608,0,0.98,-0.012,-0.24,0,-0.01,0.112,176824,3433,0,0.99,-0.019,-0.03,0,0.02,0.132,182316,3540,0,0.97,0.095080142,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.01,0.079057394,0.6755,0.733843,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,Region 6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0091,11470,243,87,1.8,-0.13,-0.08,0.008698176650602138,13123,278,95,2,233330,3332,0,0,SustainedHotspot,,0.132,80487,1708,2,0.81,0.005,-0.31,1,-0.16,0.126,116263,2467,1,0.97,0.008,-0.03,0,0.07,0.118,120041,2547,1,0.9,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.5571470000000001,Uncertain
