County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,10039107,0.7597,0.2541,0.0302,11,260018,0.0259,0.0828,112542,1121,1247,12.4,0.4,1.28,0.06239121723753282,80654,803,547,5.4,790582,10552,0,0,SustainedHotspot,,0.436,33556,334,,,0.257,-0.92,,,0.179,445579,4438,,,0.024,-0.24,,,0.155,583940,5817,,,0.108335817,0.159872234,0.140824577,3,0.079516933,0.486295245,0.01,0.153942477,0.7682,0.489335,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,Region 9,4485414,0.9065,0.6162,0.0135,3,83484,0.0186,0.0194,26348,587,304,6.8,0.05,0.08,0.0193623647612697,25030,558,282,6.3,325404,5196,0,6,SustainedHotspot,,0.198,138671,3092,1,0.91,0.052,-0.17,0,-0.02,0.145,166152,3704,1,0.93,-0.012,0.08,0,-0.03,0.158,153204,3416,1,0.96,0.110917741,0.147436561,0.155243418,2.76,0.055936643,0.314096982,0.03,0.0463081,0.6354,0.219675,Uncertain
"San Bernardino County, CA",6071,Large fringe metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2180085,0.4688,0.0552,0.0066,1,24628,0.0113,0.0164,22249,1021,25,1.1,-0.14,-0.74,0.0199216532040343,25753,1181,97,4.4,199115,1445,4,2,SustainedHotspot,Recent,0.23,56854,2608,,,0.006,-0.56,,,0.224,129574,5944,,,0.013,0.07,,,0.211,121655,5580,,,0.09371372,0.173415965,0.119499928,3.3,0.081083536,0.544386113,0.02,0.079595979,0.9009999999999999,0.57816,Uncertain
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2470546,0.5312,0.0625,0.0074,2,33576,0.0136,0.016,21758,881,156,6.3,0.02,0.84,0.01653343276238983,21373,865,85,3.4,184193,1985,0,1,SustainedHotspot,,0.261,57962,2346,,,0.043,-0.47,,,0.218,109680,4440,,,-0.005,-0.08,,,0.223,119084,4820,,,0.100478714,0.147538486,0.148121913,3.27,0.062192325,0.50030722,0.02,0.07153277,0.7939,0.558739,Uncertain
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,3175692,0.2403,0.0804,0.0096,3,81888,0.0258,0.015,20381,642,93,2.9,-0.11,0.94,0.01766670740782571,22838,719,48,1.5,161586,1875,0,0,SustainedHotspot,,0.2,61308,1931,,,0.029,-0.58,,,0.171,145556,4583,,,0.002,0.12,,,0.169,130257,4102,,,0.084408242,0.115023403,0.152901478,3.02,0.016606774,0.340426905,0.01,0.217162433,0.4191,0.466094,Uncertain
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,Region 9,3338330,1,0.0845,0.0101,4,91421,0.0274,0.0148,20112,602,190,5.7,0.03,0.28,0.01508299592949407,19498,584,149,4.5,160073,1592,0,0,SustainedHotspot,,0.155,78436,2350,,,0.027,-0.54,,,0.128,171324,5132,,,0.042,0.24,,,0.085,137853,4129,,,0.087253742,0.126316655,0.145118068,2.87,0.047063352,0.341497995,0.01,0.125809012,0.5596,0.2773,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,Region 4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0115,15588,574,80,2.9,0.15,0.08,0.01049652127229998,13569,499,74,2.7,298873,4188,0,7,SustainedHotspot,,0.138,140594,5175,,,0.023,-0.28,,,0.115,194388,7155,,,-0.01,0.11,,,0.125,174806,6434,,,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0,0.016235544,0.8175,0.81439,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,Region 6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0105,14292,303,89,1.9,0.49,-0.21,0.007415406656073965,9586,203,113,2.4,239657,3417,0,0,SustainedHotspot,,0.165,66613,1413,2,0.81,0.033,-0.47,1,-0.1,0.132,126102,2675,1,0.91,0.009,0.07,0,-0.06,0.123,117410,2491,1,0.97,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.5571470000000001,Uncertain
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2102515,0.2776,0.0725,0.0063,2,36456,0.0173,0.0105,14211,676,85,4,0.89,-0.27,0.005826501453531099,7532,358,116,5.5,150004,1446,0,0,SustainedHotspot,,0.261,35948,1710,2,0.77,0.075,-0.39,0,-0.03,0.186,58583,2786,2,0.8,0.003,-0.02,0,-0.14,0.184,59503,2830,2,0.94,0.163263168,0.129586195,0.116294533,2.86,0.17010057,0.294747005,0.01,0.058096613,0.5475,0.343203,Uncertain
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2635516,0.348,0.0909,0.0079,2,40184,0.0152,0.0102,13900,527,112,4.2,0.45,0.14,0.007393746799369389,9558,363,98,3.7,193318,2033,0,0,SustainedHotspot,,0.219,33971,1289,2,0.84,0.059,-0.55,0,-0.06,0.161,74774,2837,2,0.9,0.004,0.09,0,-0.03,0.157,68635,2604,2,0.93,0.210484178,0.165861601,0.110838637,2.79,0.226737383,0.407584321,0.01,0.067248691,0.7538,0.6001270000000001,Uncertain
