County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,10039107,0.7597,0.2541,0.0302,11,260018,0.0259,0.0588,79582,793,1444,14.4,-0.25,-0.11,0.06201963325368409,105716,1053,1623,16.2,1038738,14416,0,4,SustainedHotspot,,0.141,460066,4583,,,-0.032,-0.12,,,0.173,525763,5237,,,-0.039,-0.02,,,0.212,537022,5349,,,4917,25,1123,6,0.83,0.39,0.87,0.6,0.5,0.29,-0.08,-0.05,0.01,-0.03,0.02,0,-0.02,-0.02,88,19814.71428571429,2957.628571428572,5447.971428571432,0.9772727272727272,0.9431818181818182,1,0.9772727272727272,0.108335817,0.159872234,0.140824577,3,0.079516933,0.486295245,0.01,0.153942477,0.7682,0.489335,Likely Decreasing
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,Region 9,4485414,0.9065,0.6162,0.0135,3,83484,0.0186,0.0232,31416,700,433,9.7,-0.26,-0.38,0.02487332485801296,42398,945,699,15.6,428624,6548,3,1,SustainedHotspot,Recent,0.175,158619,3536,1,0.98,-0.018,-0.21,0,0.01,0.193,201949,4502,1,0.97,-0.014,0.18,0,0.04,0.207,171582,3825,1,0.93,2143,20,1711,16,0.75,0.31,0.74,0.46,0.62,0.34,-0.13,0.05,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,43,10635.99523809524,1546.285714285714,1676.009523809524,0.9767441860465116,0.9534883720930232,0.9767441860465116,0.9767441860465116,0.110917741,0.147436561,0.155243418,2.76,0.055936643,0.314096982,0.03,0.0463081,0.6354,0.219675,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,Region 6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0156,21160,449,208,4.4,0.16,0.18,0.01069779420694057,18235,387,176,3.7,290249,3866,1,0,SustainedHotspot,Recent,0.167,108114,2294,1,0.93,-0.016,-0.22,0,-0.01,0.183,139051,2950,1,0.94,-0.009,0.13,0,0.01,0.192,123403,2618,1,0.93,1870,16,1022,8,0.81,0.22,0.88,0.39,0.46,0.14,-0.02,0.17,0.01,0.01,0.01,0.02,0.01,0.01,49,12031.71428571429,1444.142857142857,3159.428571428572,0.979591836734694,0.9591836734693876,0.979591836734694,0.979591836734694,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.5571470000000001,Uncertain
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2470546,0.5312,0.0625,0.0074,2,33576,0.0136,0.0151,20400,826,369,14.9,-0.23,1.37,0.01563045412972403,26643,1078,156,6.3,251000,2676,0,3,SustainedHotspot,,0.208,98881,4002,,,-0.025,-0.14,,,0.234,114859,4649,,,-0.023,0.12,,,0.257,102610,4153,,,910,28,191,6,0.9,0.49,0.96,0.63,0.5,0.35,-0.07,-0.26,0,-0.02,0,-0.03,-0.01,-0.01,17,3294.714285714286,578.1428571428571,932,1,1,1,1,0.100478714,0.147538486,0.148121913,3.27,0.062192325,0.50030722,0.02,0.07153277,0.7939,0.558739,Uncertain
"San Bernardino County, CA",6071,Large fringe metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,Region 9,2180085,0.4688,0.0552,0.0066,1,24628,0.0113,0.0127,17128,786,8,0.4,-0.31,-0.92,0.01465072743240619,24973,1146,98,4.5,256914,1560,0,21,SustainedHotspot,,0.165,106313,4877,,,-0.041,-0.18,,,0.206,129691,5949,,,-0.035,0.22,,,0.241,105957,4860,,,966,26,274,8,0.89,0.43,0.95,0.56,0.58,0.37,-0.09,0.04,0.01,-0.04,-0.01,-0.04,-0.05,-0.05,20,3645.428571428571,581.8571428571427,988.2857142857144,1,1,1,1,0.09371372,0.173415965,0.119499928,3.3,0.081083536,0.544386113,0.02,0.079595979,0.9009999999999999,0.57816,Uncertain
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,Region 9,3175692,0.2403,0.0804,0.0096,3,81888,0.0258,0.0125,16977,535,329,10.4,-0.31,0.39,0.01437323597861497,24500,771,236,7.4,216509,2508,0,3,SustainedHotspot,,0.134,113723,3581,,,-0.044,-0.13,,,0.178,130948,4123,,,-0.019,0.07,,,0.197,122404,3854,,,1319,24,276,5,0.84,0.36,0.95,0.65,0.51,0.35,-0.13,-0.12,-0.01,-0.03,0.02,0.01,-0.01,0.02,28,5578.657142857143,823.0571428571428,1416.285714285714,1,1,1,1,0.084408242,0.115023403,0.152901478,3.02,0.016606774,0.340426905,0.01,0.217162433,0.4191,0.466094,Uncertain
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,Region 9,3338330,1,0.0845,0.0101,4,91421,0.0274,0.0125,16975,508,222,6.7,-0.32,-0.15,0.01461846098429093,24918,746,261,7.8,218555,2174,0,3,SustainedHotspot,,0.127,132225,3961,,,-0.024,-0.25,,,0.151,175334,5252,,,-0.017,0.11,,,0.168,157681,4723,,,988,16,252,4,0.77,0.29,0.93,0.61,0.45,0.24,-0.06,-0.02,0,-0.01,0,-0.01,0,0,19,6023.071428571429,715.0714285714287,1487,1,0.9473684210526316,1,1,0.087253742,0.126316655,0.145118068,2.87,0.047063352,0.341497995,0.01,0.125809012,0.5596,0.2773,Uncertain
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2102515,0.2776,0.0725,0.0063,2,36456,0.0173,0.0121,16441,782,150,7.1,-0.08,-0.31,0.01043790263393949,17792,846,216,10.3,199521,1927,1,0,SustainedHotspot,Recent,0.228,60507,2878,2,0.89,-0.024,-0.05,0,-0.03,0.251,63782,3034,2,0.92,-0.007,0.12,0,0.01,0.258,56751,2699,2,0.91,968,23,612,14,0.9,0.35,0.97,0.54,0.44,0.14,-0.08,0.11,0.01,-0.01,0.02,-0.03,0,0,26,4257.714285714286,523,1395,1,1,1,1,0.163263168,0.129586195,0.116294533,2.86,0.17010057,0.294747005,0.01,0.058096613,0.5475,0.343203,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,Region 4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0118,16035,590,158,5.8,-0.18,-0.25,0.01142525594626639,19475,717,212,7.8,350252,4630,0,2,SustainedHotspot,,0.143,176632,6501,,,0.007,-0.16,,,0.136,209439,7709,,,-0.004,0.24,,,0.14,168666,6208,,,870,14,290,5,0.85,0.19,0.85,0.24,0.32,0.08,-0.13,0.16,-0.01,0,0.02,0,0.03,0.01,22,6112.828571428572,944.1428571428572,1903.942857142857,1,0.9545454545454546,1,1,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0,0.016235544,0.8175,0.81439,Uncertain
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,Region 6,2003554,0.7854,0.0691,0.006,2,39255,0.0196,0.0106,14296,714,155,7.7,0.2,0.16,0.006974246094439787,11888,593,134,6.7,153081,2067,1,0,SustainedHotspot,Recent,0.15,79182,3952,2,0.89,-0.056,0.12,0,0.05,0.206,70779,3533,2,0.84,-0.024,0.45,0,-0.06,0.23,48782,2435,2,0.9,1136,16,109,2,0.62,0.19,0.9,0.49,0.5,0.17,-0.04,-0.11,0.01,0.01,0,-0.01,-0.01,0.02,18,7120.999999999999,838.4285714285713,1590.428571428572,1,0.9444444444444444,1,1,0.151333203,0.163400384,0.123701682,3,0.07414724,0.6068156889999999,0.01,0.032664954,0.8258,0.373448,Uncertain
