County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,2559903,0.1332,0.1316,0.0077,0,15416,0.006,0.0306,14381,562,160,6.3,4.22,1.16,0.007334546886809525,2756,108,74,2.9,245458,9589,9645,377,3,0,SustainedHotspot,Continuing,High,High,0.058,152571,5960,1,0.99,0,-0.03,0,0.01,0.058,157940,6170,1,0.98,0.002,0,0,-0.01,0.056,158726,6200,1,0.99,489,11,195,5,0.73,0.15,0.82,0.27,0.27,0.05,0.02,0.12,0,0.01,-0.01,0.02,0,0,13,4311.142857142859,392.8571428571429,1255,1,0.9230769230769232,1,1,0.082438194,0.211453529,0.143710133,2.69,0.29713079,0.188944269,0.01,0.126641127,0.8153,0.9124479999999999,Uncertain
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,2253858,0.1173,0.1159,0.0068,2,29190,0.013,0.0303,14237,632,162,7.2,4.24,1.61,0.007230756128977315,2717,121,62,2.8,245105,10875,9293,412,3,0,SustainedHotspot,Continuing,High,High,0.079,151359,6716,1,0.99,-0.002,0.02,0,0,0.08,148594,6593,1,0.99,0.001,0,0,0,0.079,148059,6569,1,0.99,541,14,145,4,0.84,0.18,0.65,0.35,0.39,0.12,0.1,-0.11,0.01,0.01,-0.04,0,-0.04,-0.02,7,3772.571428571429,375,785.5714285714287,1,1,1,1,0.105344436,0.129925762,0.163423339,2.91,0.179260628,0.28170985,0.01,0.269030702,0.6201,0.832219,Uncertain
"New York County, NY",36061,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1628706,0.0848,0.0837,0.0049,11,178189,0.1094,0.0191,8999,553,101,6.2,5.82,1.59,0.003512917957397886,1320,81,39,2.4,122759,7537,4204,258,4,0,SustainedHotspot,Continuing,High,Substantial,0.034,121052,7432,1,0.99,0.002,-0.1,0,0,0.032,134435,8254,1,0.99,0.002,0.03,0,0,0.03,131052,8046,1,0.99,739,7,230,2,0.76,0.1,0.74,0.19,0.3,0.07,-0.01,-0.07,-0.01,0,-0.02,-0.01,0,-0.01,15,10757,1218.571428571429,2533,1,0.9333333333333332,1,1,0.057828052,0.166175441,0.169533974,2.07,0.123919848,0.255883505,0.01,0.128462104,0.551,0.319962,Uncertain
"Bronx County, NY",36005,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1418207,0.0738,0.0729,0.0043,2,28996,0.0204,0.0173,8119,572,101,7.1,4.32,1.97,0.004058484761387709,1525,108,34,2.4,164369,11590,6212,438,3,0,SustainedHotspot,Continuing,High,High,0.061,74768,5272,1,0.98,-0.005,0,0,-0.01,0.066,74791,5274,1,0.99,0,-0.01,0,0,0.065,75575,5329,1,0.99,327,8,47,1,0.72,0.11,0.76,0.26,0.28,0.07,0.08,0.43,0,0,-0.02,-0.04,-0.02,-0.01,8,3954.857142857143,418.7142857142857,1092.428571428572,1,0.875,1,1,0.096639634,0.290559209,0.133101867,2.79,0.292400193,0.563796399,0.03,0.04561111299999999,0.9927,0.993951,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,Region 4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0172,8093,298,103,3.8,0.08,0.91,0.02001564845271932,7521,277,54,2,444487,16360,5845,215,0,0,SustainedHotspot,,High,High,0.093,138378,5093,,,-0.005,0.02,,,0.099,136280,5016,,,0.004,0.06,,,0.095,128790,4740,,,509,8,176,3,0.83,0.08,0.8,0.12,0.27,0.05,-0.1,-0.12,-0.01,-0.01,-0.03,-0.03,-0.02,-0.01,23,6042.857142857143,947.4285714285713,1860.285714285714,0.9565217391304348,0.9130434782608696,1,0.9565217391304348,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0,0.016235544,0.8175,0.81439,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,Region 5,5150233,0.5445,0.4064,0.0155,7,135244,0.0263,0.0157,7372,143,47,0.9,0.38,-0.3,0.01420602731559842,5338,104,67,1.3,496856,9647,9645,187,0,0,SustainedHotspot,,High,High,0.045,130697,2538,0,0.99,0.01,0.01,0,0,0.035,129710,2519,0,0.99,0.004,0.05,0,-0.01,0.031,123232,2393,0,1,558,4,1102,8,0.71,0.04,0.65,0.08,0.26,0.02,0.24,-0.08,0.01,0.01,0.02,0.01,0,0,52,14146,1758.357142857143,3178.857142857144,0.9807692307692308,0.9423076923076924,1,0.9807692307692308,0.09508014199999999,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.01,0.079057394,0.6755,0.733843,Likely Increasing
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,Region 5,1749343,0.405,0.1752,0.0053,1,25758,0.0147,0.0141,6640,380,33,1.9,0.61,0.32,0.01097520731538552,4124,236,25,1.4,117758,6732,4255,243,8,0,SustainedHotspot,Continuing,High,High,0.137,34621,1979,1,0.98,0.05,-0.01,0,0.01,0.088,34829,1991,1,0.97,0.028,0.01,0,0.01,0.059,34425,1968,1,0.96,435,10,144,3,0.8,0.08,0.77,0.14,0.31,0.04,0.6,-0.04,0,0.03,0.01,0.05,0,0.01,18,4460.142857142859,590,1127.714285714285,1,0.9444444444444444,1,1,0.071540061,0.230555557,0.158076489,2.57,0.382391561,0.061423632,0,0.035318402,0.8723,0.7195159999999999,Uncertain
"Macomb County, MI",26099,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,Region 5,873972,0.2023,0.0875,0.0026,0,0,0,0.012,5657,647,18,2.1,0.71,0.64,0.008819553114254995,3314,379,11,1.3,71578,8190,2025,232,14,0,SustainedHotspot,Continuing,High,High,0.183,17613,2015,1,0.98,0.066,0.07,0,0.01,0.116,16450,1882,1,0.97,0.042,0.15,0,-0.01,0.075,14356,1643,1,0.98,204,16,54,4,0.84,0.13,0.78,0.21,0.41,0.05,0.45,0.76,0.02,0.04,0.02,0.07,-0.03,-0.01,5,1264,148.5714285714286,245,1,1,1,1,0.05732065099999999,0.113190841,0.174225261,2.5,0.124125258,0.027556947,0,0.04256086,0.3296,0.5702010000000001,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,Region 6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0115,5416,115,133,2.8,0.29,-0.05,0.0111641597206698,4195,89,140,3,376577,7990,5778,123,0,19,HighBurdenResolving,,High,Substantial,0.071,68633,1456,1,0.99,-0.008,-0.14,0,0.01,0.079,79658,1690,1,0.98,0.006,0.01,0,-0.01,0.073,78580,1667,1,0.99,731,6,721,6,0.8,0.08,0.84,0.18,0.41,0.06,-0.04,0.01,0,-0.01,0,-0.03,-0.01,-0.01,51,12247.77142857143,1394.285714285714,3179.000000000002,0.9411764705882352,0.9019607843137256,0.9607843137254902,0.9411764705882352,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.5571470000000001,Likely Decreasing
"Oakland County, MI",26125,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,Region 5,1257584,0.2911,0.1259,0.0038,1,17236,0.0137,0.0107,5049,401,12,1,0.44,-0.33,0.009303909984138643,3496,278,18,1.4,87010,6919,2060,164,9,0,SustainedHotspot,Recent,High,High,0.128,25108,1997,1,0.99,0.046,0.03,0,0.02,0.082,24326,1934,1,0.97,0.036,0.05,0,0,0.046,23204,1845,1,0.97,493,13,69,2,0.8,0.1,0.77,0.16,0.2,0.03,0.77,0.44,0.02,0.04,0.01,0.02,0.02,0,13,3695.571428571429,407.7142857142857,749.2857142857142,1,1,1,1,0.049323035,0.08612649800000001,0.173090625,2.47,0.136838573,0.043367282,0,0.081526164,0.114,0.156001,Uncertain
