County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People who are fully vaccinated,People who are fully vaccinated as % of total population,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.1752,0.0053,1,25758,0.0147,0.0209,10048,574,77,4.4,-0.01,0.15,0.02085719427991754,10198,583,67,3.8,143217,8187,4433,253,2,0,SustainedHotspot,Recent,High,High,0.17,56173,3211,1,0.97,-0.016,0.25,0,0.01,0.186,45070,2576,1,0.96,0.014,0.15,0,-0.02,0.171,39071,2233,1,0.98,874,20,168,4,0.88,0.21,0.83,0.34,0.37,0.12,0.02,-0.15,0.04,0.04,0.04,0.07,0.03,0.04,18,4330.285714285715,582.2857142857142,1138.857142857143,1,0.9444444444444444,1,1,368921,0.211,162836,0.589,0.071540061,0.230555557,0.158076489,2.57,0.382391561,0.061423632,0,0.035318402,0.8723,0.7195159999999999,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0208,10015,369,63,2.3,0.04,-0.02,0.01970368794790405,9634,355,64,2.4,470668,17323,6044,222,0,0,SustainedHotspot,,High,High,0.116,144607,5322,,,0.009,0.04,,,0.107,138467,5096,,,0.004,-0.02,,,0.103,140685,5178,,,575,9,182,3,0.84,0.09,0.8,0.14,0.27,0.05,0,0.26,0.01,0.01,0.04,0.01,0.01,0.01,23,6135.571428571428,957.7142857142856,1900.428571428572,0.9565217391304348,0.9130434782608696,1,0.9565217391304348,680659,0.251,297413,0.657,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0,0.016235544,0.8175,0.81439,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.5445,0.4064,0.0155,7,135244,0.0263,0.0186,8921,173,69,1.3,-0.07,0.3,0.0196423312281161,9604,186,53,1,521694,10130,9824,191,0,0,SustainedHotspot,,High,High,0.053,169149,3284,0,0.99,-0.001,0.09,0,0,0.054,154513,3000,0,0.99,0.007,0.04,0,-0.01,0.047,148935,2892,0,1,801,6,1094,8,0.73,0.07,0.69,0.13,0.27,0.03,0.09,-0.11,0.03,0.01,0.03,0.03,0.01,0,52,14188.16666666667,1749.357142857143,3165.857142857143,0.9807692307692308,0.9423076923076924,1,0.9807692307692308,1287080,0.25,436366,0.562,0.095080142,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.01,0.079057394,0.6755,0.733843,Uncertain
"Oakland County, MI",26125,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1257584,0.2911,0.1259,0.0038,1,17236,0.0137,0.0138,6654,529,33,2.6,0.03,0.27,0.01319578520239537,6452,513,26,2.1,103724,8248,2129,169,1,0,SustainedHotspot,Recent,High,High,0.141,35694,2838,1,0.98,-0.015,0.1,0,0,0.156,32365,2574,1,0.98,0.004,0.1,0,0,0.152,29341,2333,1,0.98,711,19,124,3,0.85,0.2,0.82,0.27,0.28,0.08,-0.09,0.1,0.03,0.03,0.03,0.05,0.04,0.03,13,3716,408.5,756.9428571428572,1,1,1,1,343056,0.273,146431,0.673,0.049323035,0.08612649800000001,0.173090625,2.47,0.136838573,0.043367282,0,0.081526164,0.114,0.156001,Uncertain
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.1332,0.1316,0.0077,0,15416,0.006,0.0132,6327,247,133,5.2,-0.14,0.29,0.01498944664419647,7329,286,103,4,264753,10342,9990,390,0,11,SustainedHotspot,,High,High,0.051,161126,6294,1,0.99,-0.003,0.18,0,0,0.054,136900,5348,1,0.99,-0.01,-0.15,0,0,0.064,161383,6304,1,0.99,368,8,175,4,0.71,0.13,0.8,0.23,0.23,0.04,-0.14,0.05,0.01,-0.01,0.01,-0.02,-0.02,-0.01,13,4368.404761904762,404.3333333333333,1254.142857142857,1,0.9230769230769232,1,1,529973,0.207,160742,0.437,0.082438194,0.211453529,0.143710133,2.69,0.29713079,0.188944269,0.01,0.126641127,0.8153,0.912448,Uncertain
"Macomb County, MI",26099,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,873972,0.2023,0.0875,0.0026,0,0,0,0.0123,5917,677,44,5,-0.03,0.91,0.01241450963709546,6070,695,23,2.6,87780,10044,2114,242,0,0,SustainedHotspot,,High,High,0.211,26279,3007,1,0.98,-0.008,-0.01,0,0,0.219,26597,3043,1,0.98,0.009,0.17,0,0,0.21,22693,2597,1,0.98,344,27,67,5,0.89,0.28,0.87,0.39,0.47,0.12,-0.01,-0.16,0.02,0.03,0.01,0.05,0.04,0.04,5,1290.190476190476,152.6666666666667,277.5714285714286,1,1,1,1,204964,0.235,96100,0.631,0.05732065099999999,0.113190841,0.174225261,2.5,0.124125258,0.027556947,0,0.04256086,0.3296,0.5702010000000001,Uncertain
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2253858,0.1173,0.1159,0.0068,2,29190,0.013,0.0114,5463,242,96,4.3,-0.23,-0.1,0.01443928139009784,7060,313,107,4.7,263513,11692,9581,425,0,10,SustainedHotspot,,High,High,0.064,153043,6790,1,0.99,-0.009,0.12,0,0,0.073,136287,6047,1,0.99,-0.01,-0.16,0,0,0.084,161569,7169,1,0.99,312,8,135,4,0.79,0.14,0.62,0.27,0.37,0.11,-0.25,0.07,-0.02,-0.02,-0.03,-0.02,-0.01,-0.01,7,3777.190476190476,375,780.2380952380953,1,1,1,1,596148,0.265,194771,0.529,0.105344436,0.129925762,0.163423339,2.91,0.179260628,0.28170985,0.01,0.269030702,0.6201,0.832219,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.3167,0.0909,0.0059,1,13150,0.0067,0.0111,5350,274,62,3.2,0,2.1,0.01098694329002912,5372,275,20,1,228502,11701,2783,143,0,0,SustainedHotspot,,High,High,0.113,68979,3532,,,0.002,0.07,,,0.111,64396,3298,,,0.001,0.02,,,0.11,62860,3219,,,450,10,90,2,0.78,0.11,0.84,0.21,0.38,0.09,-0.12,-0.11,0.03,0.01,0.02,0.02,0.03,0.01,15,4663.5,531.9285714285713,1004.942857142857,1,1,1,1,460059,0.236,218006,0.652,0.146170575,0.134948823,0.171343594,2.77,0.28433186,0.310830007,0,0.038722784,0.5844,0.605221,Uncertain
"Philadelphia County, PA",42101,Large central metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,PA,3,1584064,0.2596,0.1237,0.0048,4,96491,0.0609,0.0096,4597,290,42,2.7,-0.01,-0.18,0.009526653359075888,4658,294,51,3.2,140229,8852,3375,213,0,0,SustainedHotspot,,High,High,0.086,56064,3539,1,0.99,0.009,0.1,0,0,0.078,50955,3217,1,0.99,0,-0.04,0,0,0.077,52830,3335,1,0.99,491,9,595,11,0.83,0.1,0.83,0.15,0.3,0.04,0.04,0.04,0.02,0,0.01,0.02,0,0,20,5583,714.2857142857142,1736,1,0.95,1,1,384256,0.243,113646,0.513,0.091076095,0.248622784,0.139942578,2.57,0.405388924,0.152408615,0.01,0.078202648,0.9204,0.801337,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0076,3657,78,97,2.1,0.1,0.02,0.0067860532085474,3318,70,95,2,386436,8199,6072,129,0,38,EmergingHotspot,,Substantial,Substantial,0.082,71792,1523,1,0.99,0.004,-0.04,0,0.01,0.078,74704,1585,1,0.98,-0.001,-0.05,0,0,0.078,78824,1672,1,0.98,678,5,595,5,0.8,0.07,0.82,0.17,0.4,0.06,-0.04,-0.11,0,0,-0.03,0,-0.01,0,51,12376.07142857143,1374.75,3141.259523809523,0.9411764705882352,0.9019607843137256,0.9607843137254902,0.9411764705882352,,,,,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.5571470000000001,Uncertain
