County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People who are fully vaccinated,People who are fully vaccinated as % of total population,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0198,7831,288,76,2.8,-0.26,0.12,0.02212880161866921,10554,388,68,2.5,479426,17646,6125,225,0,1,SustainedHotspot,,High,High,0.109,134217,4940,,,-0.003,-0.08,,,0.112,145219,5345,,,543,9,161,3,0.85,0.09,0.79,0.15,0.28,0.05,-0.05,-0.09,0.01,0,-0.01,0,0,-0.01,23,6030.142857142859,944.1428571428572,1874.571428571429,0.9565217391304348,0.9130434782608696,1,0.9565217391304348,773745,0.285,307258,0.679,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0.000818936,0.015058853,0.8175,0.81439,Likely Decreasing
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.5445,0.4064,0.0155,7,135244,0.0263,0.0188,7451,145,65,1.3,-0.14,0.02,0.01816599746296665,8664,168,64,1.2,530003,10291,9900,192,0,3,SustainedHotspot,,High,High,0.045,164748,3199,0,0.99,-0.007,-0.04,0,0,0.052,171492,3330,0,0.99,714,5,1093,8,0.73,0.07,0.68,0.13,0.27,0.04,-0.19,-0.11,0,0,-0.01,0,0,0,52,14184.38095238095,1747.952380952381,3178.952380952381,0.9807692307692308,0.9423076923076924,1,0.9807692307692308,1491118,0.29,461626,0.595,0.095080142,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.001160142,0.07731708400000001,0.6755,0.733843,Uncertain
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.1752,0.0053,1,25758,0.0147,0.0171,6780,388,104,5.9,-0.3,0.21,0.0202857831780012,9675,553,86,4.9,151702,8672,4546,260,1,3,SustainedHotspot,Recent,High,High,0.144,55022,3145,1,0.98,-0.022,-0.02,0,0.01,0.165,56207,3213,1,0.97,738,17,158,4,0.87,0.2,0.85,0.36,0.41,0.16,-0.17,-0.09,-0.01,-0.01,0.02,0.02,0.04,0.03,18,4305.428571428572,602,1118,1,0.9444444444444444,1,1,429339,0.245,169459,0.613,0.071540061,0.230555557,0.158076489,2.57,0.382391561,0.061423632,0.00331553,0.035078312,0.8723,0.7195159999999999,Likely Decreasing
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.1332,0.1316,0.0077,0,15416,0.006,0.0117,4640,181,91,3.6,-0.27,-0.24,0.01334773082285846,6366,249,120,4.7,270349,10561,10093,394,0,19,SustainedHotspot,,High,High,0.041,144694,5652,1,0.99,-0.008,-0.09,0,0,0.048,158186,6179,1,0.99,321,7,102,2,0.71,0.11,0.77,0.2,0.22,0.03,-0.12,-0.41,0,-0.02,-0.02,-0.02,-0.01,-0.01,13,4372.476190476191,407.7142857142857,1242.857142857143,1,0.9230769230769232,1,1,603376,0.236,169546,0.461,0.082438194,0.211453529,0.143710133,2.69,0.29713079,0.188944269,0.001781317,0.124636363,0.8153,0.912448,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.3167,0.0909,0.0059,1,13150,0.0067,0.0115,4551,233,84,4.3,-0.2,0.33,0.01198695839055637,5717,293,63,3.2,233624,11964,2868,147,0,2,SustainedHotspot,,High,High,0.109,66844,3423,,,-0.004,-0.01,,,0.112,67762,3470,,,491,10,103,2,0.8,0.11,0.85,0.22,0.37,0.09,-0.07,0.06,0.02,0,0,0,-0.01,0,15,4691.285714285715,523.7142857142857,1004.142857142857,1,1,1,1,526156,0.269,224306,0.67,0.146170575,0.134948823,0.171343594,2.77,0.28433186,0.310830007,0.001913684,0.037200337,0.5844,0.605221,Uncertain
"Oakland County, MI",26125,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1257584,0.2911,0.1259,0.0038,1,17236,0.0137,0.0106,4214,335,42,3.3,-0.34,0.14,0.01330579638734838,6346,505,37,2.9,108858,8656,2175,173,0,4,SustainedHotspot,,High,High,0.107,36464,2900,1,0.98,-0.029,0.02,0,0,0.136,35648,2835,1,0.98,600,16,106,3,0.81,0.19,0.82,0.28,0.29,0.09,-0.21,-0.2,-0.03,-0.02,0.01,0.01,0.01,0,13,3691.142857142857,430.5714285714286,759.5714285714287,1,1,1,1,412340,0.328,153205,0.704,0.049323035,0.08612649800000001,0.173090625,2.47,0.136838573,0.043367282,0.002386322,0.081085637,0.114,0.156001,Likely Decreasing
"Macomb County, MI",26099,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,873972,0.2023,0.0875,0.0026,0,0,0,0.0101,4000,458,57,6.5,-0.32,0.16,0.01232243387463701,5877,672,49,5.6,92958,10636,2177,249,0,5,SustainedHotspot,,High,High,0.168,27531,3150,1,0.98,-0.03,0.06,0,0,0.198,26038,2979,1,0.98,258,19,65,5,0.84,0.25,0.92,0.39,0.5,0.15,-0.25,-0.04,-0.03,-0.03,0.06,0.01,0.03,0.02,5,1329.428571428571,159.8571428571429,269.7142857142857,1,1,1,1,235802,0.27,100511,0.66,0.05732065099999999,0.113190841,0.174225261,2.5,0.124125258,0.027556947,0.002711757,0.042171832,0.3296,0.5702010000000001,Likely Decreasing
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2253858,0.1173,0.1159,0.0068,2,29190,0.013,0.0101,3991,177,73,3.2,-0.26,-0.16,0.0112719762651095,5376,239,87,3.9,268351,11906,9663,429,0,18,SustainedHotspot,,High,High,0.049,141559,6281,1,0.99,-0.013,-0.07,0,0,0.063,152248,6755,1,0.99,234,6,121,3,0.81,0.11,0.64,0.24,0.37,0.1,-0.39,-0.21,0.01,-0.02,0.01,-0.03,-0.01,-0.01,7,3793.678571428571,375,765.2857142857142,1,1,1,1,670469,0.297,205371,0.558,0.105344436,0.129925762,0.163423339,2.91,0.179260628,0.28170985,0.003352474,0.264944819,0.6201,0.832219,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0099,3927,83,75,1.6,0.19,-0.25,0.006908698250285678,3295,70,100,2.1,390547,8286,6151,131,0,46,EmergingHotspot,,Substantial,Substantial,0.073,65626,1392,1,0.99,-0.009,-0.15,0,0,0.082,76768,1629,1,0.99,556,4,439,4,0.79,0.07,0.8,0.16,0.39,0.05,-0.26,-0.38,-0.03,0,-0.03,0,-0.01,-0.01,51,12449.50476190476,1406.559523809524,3153.519047619048,0.9411764705882352,0.9019607843137256,0.9607843137254902,0.9411764705882352,,,,,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.001819734,0.071103308,0.7236,0.5571470000000001,Uncertain
"Philadelphia County, PA",42101,Large central metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,PA,3,1584064,0.2596,0.1237,0.0048,4,96491,0.0609,0.0092,3630,229,59,3.7,-0.17,0.26,0.009120739723442396,4350,275,47,3,145181,9165,3442,217,0,1,SustainedHotspot,,High,High,0.074,56366,3558,1,0.99,-0.012,0.01,0,0,0.085,55639,3512,1,0.99,611,11,567,10,0.84,0.11,0.85,0.17,0.28,0.04,0.14,-0.09,0.01,0.01,0.02,0.01,-0.01,0,20,5601.428571428572,715.7142857142858,1741.285714285714,1,0.95,1,1,418190,0.264,123137,0.555,0.091076095,0.248622784,0.139942578,2.57,0.405388924,0.152408615,0.002089562,0.076342875,0.9204,0.801337,Uncertain
