County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination as % of population - absolute change - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.5445,0.4064,0.0155,7,135244,0.0263,0.0217,3687,72,80,1.6,-0.14,-0.01,0.01946152196039233,4264,83,81,1.6,551609,10710,10241,199,0,32,HighBurdenResolving,,Substantial,Substantial,0.028,135530,2632,0,0.99,-0.002,-0.08,0,0.01,0.03,147745,2869,0,0.98,495,3,1085,8,0.73,0.05,0.69,0.1,0.29,0.04,-0.09,-0.01,0.02,-0.01,0.03,-0.01,0.01,0,52,14292.48571428571,1753.714285714286,3166.104761904762,1,0.9615384615384616,1,1,2896970,0.562,2076170,0.403,68708,0.017,,645810,0.832,512854,0.661,0.09508014199999999,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.001160142,0.07731708400000001,0.6755,0.733843,Likely Decreasing
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.4406,0.1265,0.0082,3,60195,0.0222,0.0193,3280,121,66,2.4,-0.22,0.1,0.01925157120753632,4218,155,60,2.2,499201,18374,6399,236,0,30,SustainedHotspot,,High,High,0.057,108536,3995,,,-0.006,-0.04,,,0.063,112987,4159,,,341,6,102,2,0.83,0.07,0.77,0.11,0.26,0.04,-0.17,0.03,-0.01,0,0,-0.01,0,-0.01,22,6133.857142857143,984.4285714285713,1878.857142857143,1,0.9545454545454546,1,1,1523557,0.561,1142542,0.421,50431,0.023,,418671,0.925,338784,0.749,0.18136682,0.180397685,0.166587043,3.07,0.153529338,0.6942972609999999,0.000818936,0.015058853,0.8175,0.81439,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.9065,0.6162,0.0135,3,83484,0.0186,0.0149,2538,57,59,1.3,-0.15,0.9,0.01361028576123122,2982,66,31,0.7,548006,12218,10022,223,0,10,HighBurdenResolving,,Substantial,Substantial,0.048,56210,1253,1,1,-0.006,-0.12,0,0.01,0.055,63516,1416,1,0.99,269,3,539,5,0.66,0.03,0.5,0.06,0.27,0.03,0.09,-0.09,0,0,-0.01,-0.02,-0.02,-0.01,42,10121.28571428571,1458.857142857143,1637,1,0.9761904761904762,1,1,1901517,0.424,1447776,0.323,36356,0.011,,566049,0.813,465790,0.669,0.110917741,0.147436561,0.155243418,2.76,0.055936643,0.314096982,0.016796666,0.043450839,0.6354,0.219675,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.1626,0.0142,3,56479,0.012,0.0124,2109,45,60,1.3,0.52,0.02,0.006348728200493841,1391,30,59,1.3,399155,8469,6405,136,0,75,EmergingHotspot,,Moderate,Moderate,0.042,50942,1081,1,0.99,-0.006,-0.05,0,0,0.048,53752,1140,1,0.99,329,3,560,5,0.8,0.05,0.78,0.12,0.38,0.04,-0.36,-0.14,-0.01,-0.01,-0.02,-0.01,-0.01,0,51,11955,1309.666666666667,3120.790476190477,0.9411764705882352,0.9019607843137256,0.9607843137254902,0.9411764705882352,,,,,,,,,,,,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.001819734,0.071103308,0.7236,0.5571470000000001,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.3167,0.0909,0.0059,1,13150,0.0067,0.0089,1514,78,34,1.7,-0.22,-0.44,0.008845316500759929,1938,99,61,3.1,243931,12491,3060,157,0,31,HighBurdenResolving,,Substantial,Substantial,0.049,49774,2549,,,-0.011,-0.1,,,0.06,55060,2820,,,264,6,96,2,0.77,0.07,0.8,0.16,0.36,0.06,-0.23,0.07,0,-0.01,0,-0.03,0,-0.01,15,4604.142857142859,494.8571428571429,960.1428571428572,1,1,1,1,998824,0.511,751737,0.385,26002,0.017,,300485,0.898,243530,0.728,0.146170575,0.134948823,0.171343594,2.77,0.28433186,0.310830007,0.001913684,0.037200337,0.5844,0.605221,Likely Decreasing
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.4607,0.0685,0.0044,2,40510,0.0275,0.0089,1510,103,42,2.9,-0.21,0.83,0.008699263803120964,1906,129,23,1.6,142014,9648,1812,123,0,26,SustainedHotspot,,High,High,0.045,24136,1640,,,-0.007,-0.13,,,0.052,27850,1892,,,205,5,128,3,0.8,0.04,0.74,0.09,0.25,0.03,-0.24,-0.1,-0.02,-0.01,-0.04,-0.01,-0.02,-0.01,12,4095.714285714286,528.5714285714287,638.4285714285714,1,0.9166666666666666,1,1,665515,0.452,496162,0.337,12381,0.011,,194687,0.91,144002,0.673,0.13026013,0.153591205,0.145407373,2.63,0.160019783,0.2968108,0.002224233,0.043074985,0.6701,0.5036609999999999,Uncertain
"El Paso County, CO",8041,Medium metro,"Colorado Springs, CO",Metropolitan,CO,8,720403,0.966,0.1251,0.0022,1,15157,0.021,0.0084,1429,198,12,1.7,-0.07,-0.2,0.00702878607387528,1540,214,15,2.1,69507,9648,830,115,0,13,SustainedHotspot,,High,High,0.064,18390,2553,1,0.99,-0.006,-0.01,0,0,0.07,18627,2586,1,0.99,60,8,382,49,0.73,0.07,0.75,0.16,0.34,0.12,-0.11,14.74,-0.04,-0.02,0,0.01,-0.01,0,4,782,123,199,1,1,1,1,243545,0.338,215784,0.3,9277,0.017,,28591,0.3,46815,0.492,0.073996887,0.11155872,0.132117717,2.64,0.060005303,0.177325747,0.006188203000000001,0.02943769,0.3927,0.157593,Likely Decreasing
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.7597,0.2541,0.0303,11,260018,0.0259,0.0084,1427,14,78,0.8,-0.16,-0.16,0.007763613708871331,1701,17,93,0.9,1239127,12343,24201,241,0,129,ModerateBurden,,Moderate,Moderate,0.003,428584,4269,,,-0.001,0.02,,,0.005,420036,4184,,,341,2,501,3,0.74,0.02,0.67,0.04,0.23,0.01,-0.04,-0.1,0,0,-0.01,0,0,0,90,17433.19047619048,2059.333333333333,5233.142857142857,0.9555555555555556,0.9333333333333332,0.9888888888888888,0.9555555555555556,5301479,0.528,4245802,0.423,81521,0.01,,1133442,0.802,963339,0.681,0.108335817,0.159872234,0.140824577,3,0.079516933,0.486295245,0.001868991,0.147941147,0.7682,0.489335,Uncertain
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.1752,0.0053,1,25758,0.0147,0.0082,1395,80,81,4.6,-0.32,0.04,0.009420398997713363,2064,118,78,4.5,163620,9353,4974,284,0,32,HighBurdenResolving,,Substantial,High,0.054,30530,1745,0,0.99,-0.018,-0.08,0,0.02,0.072,33279,1902,0,0.97,243,6,120,3,0.83,0.08,0.81,0.19,0.34,0.09,-0.21,0.15,0,-0.03,-0.02,-0.06,-0.01,-0.02,18,4324.000000000001,586.5714285714286,1082.714285714286,1,0.9444444444444444,1,1,712039,0.407,596453,0.341,8572,0.006,,209035,0.756,187421,0.678,0.071540061,0.230555557,0.158076489,2.57,0.382391561,0.061423632,0.00331553,0.035078312,0.8723,0.7195159999999999,Likely Decreasing
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.7359,0.0068,1,21541,0.0095,0.0081,1375,61,21,0.9,-0.25,-0.12,0.008329567912222328,1825,81,24,1.1,250386,11046,4387,194,0,9,Hotspot,,Substantial,Substantial,0.037,26812,1183,1,0.99,-0.001,-0.1,0,0.23,0.039,29634,1307,1,0.76,177,3,279,5,0.72,0.04,0.74,0.1,0.3,0.03,-0.11,-0.07,-0.01,-0.01,0.04,0,0.03,0,26,5580.714285714284,626.7142857142857,1039,0.9615384615384616,0.9230769230769232,1,0.9615384615384616,939140,0.414,744136,0.328,17660,0.01,,262014,0.765,225075,0.657,0.125284567,0.141797624,0.151169865,2.76,0.11877232,0.316439429,0.004600931,0.09847025300000001,0.7404,0.633875,Uncertain
