County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.029,2446,108,21,0.9,0.58,0,0.019,1546,68,21,0.9,257961,11380,4482,198,1,0,Hotspot,Recent,High,Substantial,0.086,18523,817,1,0.99,0.023,0.2,0,0.01,0.062,15387,679,1,0.98,291,5,272,5,0.75,0.05,0.74,0.11,0.29,0.03,0.57,-0.01,0,0.01,0,0.03,-0.01,0,26,5580,630,1037,0.96,0.92,1,0.96,1046932,0.462,871865,0.385,4791,0.027,22634,0.013,2151,0.006,0.0072,0.004,0.0024,43763,0.249,26880,0.153,1003144,0.575,844978,0.484,269660,0.787,235908,0.688,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.63,Likely Decreasing
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.024,2036,75,0,0,0.15,,0.022,1778,65,0,0,508464,18715,6472,238,0,63,EmergingHotspot,,Substantial,Substantial,0.043,80834,2975,,,0.007,-0.07,,,0.035,87274,3212,,,237,4,65,1,0.83,0.04,0.78,0.08,0.26,0.03,0.29,-0.23,0,0,0.02,0,0,0,22,6057,973,1866,1,0.95,1,1,1820172,0.67,1500807,0.552,6131,0.034,44945,0.021,3162,0.007,-0.0107,-0.006,-0.001,69788,0.383,43286,0.237,1749343,0.807,1456979,0.672,436733,0.965,365506,0.808,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.022,1886,42,45,1,-0.15,-0.33,0.027,2208,49,67,1.5,558730,12457,10269,229,0,43,EmergingHotspot,,Moderate,Moderate,0.05,36410,812,1,0.99,0.004,-0.05,0,0,0.046,38414,856,1,1,213,2,444,4,0.67,0.02,0.51,0.04,0.27,0.02,-0.02,-0.18,0,0,0.01,0,0,0,42,10118,1448,1681,0.98,0.95,1,0.98,2075936,0.463,1663125,0.371,6159,0.017,26218,0.008,2471,0.004,-0.0062,0,0.0003,99456,0.272,66983,0.183,1976299,0.576,1596109,0.465,578995,0.831,485219,0.697,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Likely Decreasing
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.02,1686,17,36,0.4,0.13,0.8,0.018,1489,15,20,0.2,1249304,12444,24490,244,0,20,EmergingHotspot,,Moderate,Moderate,,186981,1863,,,,-0.37,,,0.007,298970,2978,,,271,2,474,3,0.75,0.01,0.67,0.02,0.22,0.01,0,0.02,0,0,0.01,0,0,0,90,17629,2073,5209,0.96,0.93,0.99,0.96,5834641,0.581,5032554,0.501,16222,0.022,79430,0.01,8332,0.006,-0.0084,-0.0017,0.0005,319318,0.44,249797,0.345,5498687,0.697,4772354,0.605,1169958,0.828,1014026,0.717,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.013,1087,56,0,0,0.11,,0.012,976,50,0,0,248830,12742,3079,158,0,0,Hotspot,,Substantial,Substantial,0.046,39049,2000,,,0.009,-0.08,,,0.037,42556,2179,,,133,3,56,1,0.76,0.04,0.76,0.1,0.34,0.04,-0.38,-0.11,-0.01,0,-0.03,0,-0.01,0,15,4590,512,939,1,1,1,1,1127081,0.577,929675,0.476,3419,0.024,18640,0.012,1697,0.005,-0.0051,-0.0016,-0.0007,49119,0.351,33478,0.24,1077428,0.698,896134,0.581,310384,0.928,259106,0.774,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Likely Decreasing
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.01,857,43,12,0.6,-0.03,-0.29,0.011,880,44,17,0.8,226404,11300,3625,181,0,18,EmergingHotspot,,Moderate,Moderate,0.035,34576,1726,0,1,0.019,0,-1,0,0.016,34623,1728,1,1,101,2,71,1,0.68,0.02,0.9,0.1,0.33,0.02,-0.12,-0.34,0.06,0,0,0.02,-0.04,0.01,18,5811,610,1400,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.83,0.37,Uncertain
"Duval County, FL",12031,Large central metro,"Jacksonville, FL",Metropolitan,FL,4,957755,0.614,0.045,0.003,2,22658,0.024,0.009,812,85,0,0,0.31,,0.008,618,65,0,0,103256,10781,1483,155,0,0,Hotspot,,Substantial,Substantial,0.069,13228,1381,,,0.01,-0.07,,,0.059,14295,1493,,,139,4,79,2,0.75,0.04,0.78,0.09,0.29,0.06,0.65,-0.04,0,0.01,0.02,0.03,-0.02,0.02,8,3289,417,597,1,1,1,1,434945,0.454,376455,0.393,840,0.013,5008,0.007,510,0.004,-0.0055,-0.0016,-0.0004,14199,0.212,9837,0.147,420675,0.567,366611,0.494,126258,0.911,110602,0.798,0.12,0.16,0.14,2.6,0.3,0.11,0,0.05,0.69,0.51,Uncertain
"King County, WA",53033,Large central metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,10,2252782,0.566,0.296,0.007,3,65772,0.029,0.009,782,35,42,1.9,0.46,41,0.007,535,24,1,0,112339,4987,1652,73,0,49,EmergingHotspot,,Moderate,Moderate,0.013,40476,1797,,,0.001,0.03,,,0.012,39269,1743,,,41,1,222,5,0.78,0.02,0.6,0.06,0.23,0.02,-0.11,-0.08,0.01,0,0.04,-0.01,0.01,0,20,4305,478,810,1,0.95,1,1,1577563,0.7,1436927,0.638,2978,0.02,14522,0.008,1126,0.004,-0.0129,-0.0025,-0.0009,97004,0.666,80851,0.555,1480188,0.822,1355995,0.753,275455,0.905,262556,0.863,0.06,0.1,0.14,2.5,0.07,0.1,0.01,0.19,0.29,0.28,Likely Decreasing
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.009,767,52,0,0,-0.15,,0.011,903,61,0,0,146442,9949,1832,124,0,59,ModerateBurden,,Substantial,Substantial,0.033,18309,1244,,,0.002,-0.07,,,0.031,19656,1335,,,184,4,115,3,0.81,0.03,0.75,0.06,0.25,0.01,0.02,0.12,0.01,0,0,0,0,-0.01,12,4108,512,636,1,0.92,1,1,733998,0.499,599292,0.407,1816,0.017,9035,0.008,891,0.004,-0.0072,-0.0012,0,30150,0.278,21077,0.194,703697,0.614,578199,0.504,199611,0.933,152939,0.715,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
"Palm Beach County, FL",12099,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1496770,0.243,0.07,0.005,1,24036,0.016,0.009,741,50,0,0,0.53,,0.006,483,32,0,0,150857,10079,2883,193,0,0,EmergingHotspot,,Substantial,Moderate,0.045,22386,1496,,,0.006,0.08,,,0.039,20767,1387,,,101,3,18,1,0.74,0.03,0.58,0.06,0.19,0.02,0.08,0.39,0,0,0.02,0,-0.01,0,15,3576,454,734,1,0.93,1,1,818490,0.547,710640,0.475,1967,0.02,9915,0.008,1165,0.003,-0.0041,-0.0008,-0.0001,27880,0.282,19992,0.202,790320,0.652,690612,0.569,318204,0.873,283313,0.777,0.14,0.13,0.24,2.6,0.19,0.23,0,0.03,0.56,0.4,Uncertain
