County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.035,19499,194,63,0.6,0.22,0.4,0.044,15984,159,45,0.4,1303343,12983,24691,246,6,0,SustainedHotspot,Recent,High,High,,284572,2835,,,,0.1,,,0.049,259549,2585,,,1024,5.8,637,3.6,0.78,0.06,0.71,0.1,0.23,0.02,0.39,0.01,0.02,0.02,0.03,0,0.01,91,17594,2047,5234,0.95,0.92,0.98,0.95,6258207,0.623,5402665,0.538,20848,0.029,83954,0.011,7496,0.005,0.0052,0.0014,-0.0001,397839,0.549,322629,0.445,5842404,0.74,5068470,0.642,1213365,0.858,1044755,0.739,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.028,15584,574,0,0,0.41,,0.03,11087,408,0,0,549405,20221,6472,238,6,0,SustainedHotspot,,High,High,0.135,119859,4412,,,0.012,0.28,,,0.123,93919,3457,,,1108,18.3,141,2.3,0.88,0.18,0.82,0.23,0.29,0.08,0.19,0.01,0.06,0.02,0.07,0.03,0.04,22,6042,982,1876,1,0.91,1,1,2042988,0.752,1668972,0.614,9228,0.051,46311,0.021,3885,0.009,0.0065,0.0039,0.0009,105477,0.579,64217,0.352,1936419,0.893,1604187,0.74,451949,0.999,379448,0.838,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.022,12443,264,42,0.9,1.41,0.68,0.014,5159,109,25,0.5,425465,9027,6726,143,11,0,SustainedHotspot,Continuing,High,High,0.172,70329,1492,1,0.98,0.027,0.43,0,0.02,0.145,49046,1041,1,0.96,937,8.4,580,5.2,0.9,0.1,0.9,0.19,0.4,0.05,0.12,-0.02,0.03,-0.02,0.05,0.01,0.01,51,11124,1311,3358,0.92,0.88,0.96,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.72,0.56,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.016,9081,465,0,0,0.5,,0.017,6055,310,0,0,271400,13898,3079,158,6,0,SustainedHotspot,Recent,High,High,0.173,71858,3680,,,0.028,0.34,,,0.145,53826,2756,,,1071,22.5,149,3.1,0.83,0.19,0.87,0.27,0.42,0.11,0.15,0,0.06,0.04,0.05,0.07,0.03,15,4758,530,953,1,1,1,1,1234678,0.632,1011321,0.518,5363,0.038,26460,0.017,2307,0.007,0.007,0.0045,0.0014,68264,0.488,47224,0.338,1165863,0.756,964030,0.625,318631,0.952,267210,0.799,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.015,8696,194,45,1,0.41,0.61,0.017,6157,137,28,0.6,584002,13020,10461,233,3,0,SustainedHotspot,Continuing,High,High,0.142,61355,1368,1,1,0.023,0.23,0,0,0.119,49943,1113,1,1,517,5.1,615,6.1,0.67,0.06,0.53,0.11,0.31,0.06,0.3,-0.01,0.01,0.02,0.04,0.01,0.01,42,10144,1453,1686,0.98,0.95,1,0.98,2241646,0.5,1899456,0.423,7028,0.019,22959,0.007,1965,0.003,0.0009,0.0003,0.0001,130175,0.357,98112,0.269,2111241,0.615,1801298,0.525,594655,0.854,507068,0.728,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Uncertain
"Duval County, FL",12031,Large central metro,"Jacksonville, FL",Metropolitan,FL,4,957755,0.614,0.045,0.003,2,22658,0.024,0.015,8343,871,0,0,0.3,,0.018,6425,671,0,0,126004,13156,1483,155,6,0,SustainedHotspot,Recent,High,High,0.278,36292,3789,,,0.02,0.31,,,0.258,27608,2883,,,961,29.2,155,4.7,0.84,0.28,0.93,0.51,0.54,0.31,0.49,0.02,0.1,0.03,0.16,0.09,0.11,8,3289,402,634,1,0.88,1,1,487015,0.508,404253,0.422,2624,0.039,16688,0.022,1484,0.011,0.0106,0.0066,0.0022,21704,0.324,14046,0.21,465224,0.627,390197,0.526,130369,0.941,113209,0.817,0.12,0.16,0.14,2.6,0.3,0.11,0,0.05,0.69,0.51,Uncertain
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.014,7931,569,0,0,0.48,,0.015,5351,384,0,0,165732,11894,1310,94,6,0,SustainedHotspot,Recent,High,High,0.204,32667,2344,,,0.039,0.29,,,0.166,25333,1818,,,810,16.4,358,7.3,0.91,0.18,0.94,0.37,0.44,0.12,0.17,0.01,0.06,0.01,0.13,0.07,0.06,7,4931,481,849,1,0.86,1,1,829281,0.595,703452,0.505,3829,0.037,18368,0.017,1376,0.008,0.0043,0.0053,0.0025,54242,0.527,36656,0.356,772447,0.71,666382,0.613,159567,0.93,143036,0.834,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.67,0.55,Uncertain
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.013,7377,221,5,0.1,0.7,-0.29,0.012,4339,130,7,0.2,298002,8927,3798,114,9,0,SustainedHotspot,Continuing,High,High,,64235,1924,,,,0.28,,,0.072,50036,1499,,,294,5.1,209,3.6,0.74,0.05,0.73,0.1,0.22,0.02,0.24,0.01,0.02,0.02,0.02,0,0,20,5750,629,1488,1,0.95,1,1,2993993,0.897,1467243,0.44,6894,0.03,28856,,2372,,0.0027,0,0,174937,0.751,92411,0.397,2811178,0.999,1371270,0.523,687994,0.999,290918,0.601,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.28,Uncertain
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.013,7198,489,0,0,0.36,,0.015,5308,361,0,0,164167,11153,1832,124,6,0,SustainedHotspot,Recent,High,High,0.204,33363,2267,,,0.035,0.39,,,0.169,23972,1629,,,670,16.3,189,4.6,0.86,0.11,0.82,0.2,0.3,0.06,0.41,0.01,0.04,0.02,0.09,0.02,0.03,12,4110,530,673,1,0.92,1,1,792031,0.538,645431,0.438,3122,0.029,15443,0.013,1358,0.006,0.0055,0.0041,0.0027,40898,0.377,29623,0.273,750973,0.655,615787,0.537,203885,0.953,157388,0.735,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.011,6341,280,89,3.9,0.19,0.68,0.015,5346,236,53,2.3,280201,12362,4705,208,2,0,SustainedHotspot,Recent,High,High,0.195,32835,1449,1,0.94,0.025,0.36,0,-0.02,0.17,24201,1068,1,0.97,745,13.3,497,8.9,0.86,0.18,0.87,0.34,0.41,0.13,0.07,0.02,0.02,0,0.04,0.02,0.03,26,5600,666,999,0.96,0.92,1,0.96,1154995,0.51,936674,0.413,5304,0.03,20358,0.012,1752,0.005,0.0028,0.0012,0.0002,65948,0.375,39090,0.222,1089021,0.624,897576,0.514,277598,0.81,241160,0.704,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.63,Uncertain
