County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,% Non-Hispanic White,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.26,0.033,19933,199,57,0.6,0.11,0.27,0.045,17911,178,45,0.4,1305704,13006,24700,246,6,0,SustainedHotspot,Recent,High,High,,224543,2237,,,,-0.17,,,0.051,269066,2680,,,1064,6,663,3.8,0.78,0.06,0.71,0.11,0.23,0.02,0.37,0.01,0.02,0.02,0.04,0,0.01,91,17621,2045,5252,0.95,0.92,0.98,0.95,6265971,0.624,5407133,0.539,20854,0.029,84818,0.011,7558,0.005,0.0047,0.0013,-0.0001,399156,0.551,323396,0.446,5848850,0.741,5072171,0.642,1213801,0.859,1045063,0.739,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.13,0.026,15584,574,0,0,0.41,,0.028,11087,408,0,0,549405,20221,6472,238,6,0,SustainedHotspot,,High,High,0.137,123650,4551,,,0.011,0.25,,,0.126,98649,3631,,,1183,19.6,158,2.6,0.88,0.18,0.82,0.23,0.3,0.09,0.19,0.01,0.06,0.01,0.07,0.03,0.04,22,6042,982,1880,1,0.91,1,1,2053262,0.756,1674367,0.616,9730,0.053,48382,0.022,4079,0.008,0.0094,0.0045,0.0003,107204,0.588,65051,0.357,1944966,0.897,1608748,0.742,452541,0.999,379774,0.839,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.29,0.021,12458,264,42,0.9,1.35,0.68,0.013,5307,113,25,0.5,425862,9035,6726,143,10,0,SustainedHotspot,Recent,High,High,0.174,73852,1567,1,0.98,0.023,0.4,0,0.02,0.151,52716,1118,1,0.97,1172,10.6,772,7,0.92,0.11,0.92,0.21,0.43,0.05,0.3,0,0.04,0,0.07,0.03,0.01,51,11013,1294,3297,0.92,0.88,0.96,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.72,0.56,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.35,0.015,9081,465,0,0,0.5,,0.015,6055,310,0,0,271400,13898,3079,158,6,0,SustainedHotspot,Recent,High,High,0.173,73728,3776,,,0.024,0.28,,,0.149,57394,2939,,,1290,27,169,3.5,0.84,0.2,0.88,0.28,0.44,0.12,0.32,0.02,0.07,0.04,0.05,0.09,0.04,15,4781,538,928,1,1,1,1,1238638,0.634,1013351,0.519,5495,0.039,27123,0.018,2368,0.007,0.0072,0.0044,0.0014,68875,0.493,47563,0.34,1169212,0.758,965721,0.626,318905,0.953,267369,0.799,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.55,0.015,9054,202,46,1,0.38,0.64,0.016,6544,146,28,0.6,585497,13053,10462,233,2,0,SustainedHotspot,Recent,High,High,0.144,61833,1379,1,1,0.022,0.21,0,0,0.121,50972,1136,1,1,580,5.7,641,6.3,0.67,0.06,0.54,0.12,0.32,0.07,0.41,0,0.02,0.03,0.04,0.01,0.01,42,10165,1452,1686,0.98,0.95,1,0.98,2251251,0.502,1904509,0.425,8356,0.023,27555,0.008,2391,0.003,0.0038,0.0013,0.0005,132261,0.362,99150,0.272,2118760,0.617,1805313,0.526,595243,0.855,507454,0.729,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Uncertain
"Duval County, FL",12031,Large central metro,"Jacksonville, FL",Metropolitan,FL,4,957755,0.614,0.045,0.003,2,22658,0.024,0.52,0.014,8343,871,0,0,0.3,,0.016,6425,671,0,0,126004,13156,1483,155,6,0,SustainedHotspot,Recent,High,High,0.27,37115,3875,,,0.009,0.27,,,0.261,29186,3047,,,999,30.4,168,5.1,0.84,0.3,0.94,0.52,0.54,0.32,0.47,0.02,0.1,0.03,0.15,0.08,0.1,8,3289,402,638,1,0.88,1,1,489317,0.511,404912,0.423,2681,0.04,17228,0.023,1514,0.011,0.0108,0.0066,0.0022,21993,0.328,14149,0.211,467237,0.63,390753,0.527,130504,0.942,113257,0.817,0.12,0.16,0.14,2.6,0.3,0.11,0,0.05,0.69,0.51,Uncertain
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.39,0.013,7931,569,0,0,0.48,,0.013,5351,384,0,0,165732,11894,1310,94,6,0,SustainedHotspot,Recent,High,High,0.203,33993,2439,,,0.033,0.28,,,0.17,26469,1900,,,973,19.7,416,8.4,0.91,0.19,0.94,0.4,0.45,0.14,0.37,0.01,0.06,0.01,0.14,0.07,0.06,7,4929,479,850,1,0.86,1,1,831767,0.597,704704,0.506,3920,0.038,19002,0.017,1406,0.008,0.0065,0.0057,0.0024,54634,0.531,36892,0.358,774541,0.712,667398,0.614,159696,0.931,143116,0.834,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.67,0.55,Uncertain
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.48,0.012,7198,489,0,0,0.36,,0.013,5308,361,0,0,164167,11153,1832,124,6,0,SustainedHotspot,Recent,High,High,0.204,34013,2311,,,0.032,0.32,,,0.173,25821,1754,,,721,17.5,188,4.6,0.86,0.12,0.82,0.21,0.31,0.06,0.43,0.01,0.05,0.02,0.09,0.02,0.03,12,4120,533,683,1,0.92,1,1,794559,0.54,646468,0.439,3194,0.029,16059,0.014,1395,0.007,0.0053,0.0036,0.0017,41289,0.381,29822,0.275,753110,0.657,616625,0.538,204015,0.953,157458,0.736,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.42,0.011,6374,281,75,3.3,0.15,0.07,0.014,5562,245,70,3.1,282357,12457,4711,208,2,0,SustainedHotspot,Recent,High,High,0.197,33728,1488,1,0.94,0.023,0.23,0,-0.03,0.174,27484,1213,1,0.97,689,12.3,451,8,0.86,0.18,0.87,0.35,0.42,0.14,-0.08,0.01,0.02,0,0.04,0.02,0.03,26,5610,669,1011,0.96,0.92,1,0.96,1158160,0.511,938392,0.414,5355,0.03,20826,0.012,1761,0.005,0.0035,0.0009,0,66484,0.378,39427,0.224,1091650,0.625,898957,0.515,277809,0.811,241276,0.704,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.63,Likely Decreasing
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.45,0.011,6333,190,5,0.1,-0.01,-0.29,0.016,6401,192,7,0.2,299021,8957,3798,114,9,0,SustainedHotspot,Recent,High,High,,54055,1619,,,,-0.01,,,0.074,54349,1628,,,311,5.4,213,3.7,0.75,0.05,0.74,0.11,0.22,0.02,0.31,0.01,0.02,0.03,0.03,0,0.01,20,5745,629,1487,1,0.95,1,1,2997531,0.898,1469255,0.44,6896,0.03,29714,,2451,,0.0025,0,0,175497,0.753,92757,0.398,2814156,0.999,1372936,0.523,688220,0.999,291049,0.601,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.28,Uncertain
