County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,% Non-Hispanic White,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.26,0.024,23710,236,148,1.5,0.01,0.3,0.027,23461,234,114,1.1,1362848,13575,25002,249,0,0,SustainedHotspot,,High,High,0.038,742443,7396,,,-0.011,0.55,,,0.049,479257,4774,,,1373,7.7,671,3.8,0.8,0.1,0.77,0.19,0.27,0.05,0.01,0,0.01,0.01,0.03,0.02,0.01,91,17786,2087,5244,0.95,0.92,0.98,0.95,6502265,0.648,5574727,0.555,85709,0.01,16546,0.023,69163,0.009,4936,0.003,-0.0014,-0.0073,-0.0008,-0.0005,6484207,0.752,5563144,0.645,448409,0.619,357871,0.494,6035798,0.765,5205273,0.659,1227815,0.868,1057232,0.748,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.13,0.022,21655,797,0,0,0.1,,0.023,19709,725,0,0,590769,21744,6472,238,4,0,SustainedHotspot,,High,High,0.141,166283,6120,,,0.001,0.07,,,0.14,155373,5719,,,1612,26.6,277,4.6,0.9,0.29,0.87,0.39,0.41,0.16,0.02,0,0.03,0.04,0.08,0.03,0.03,22,6058,967,1985,1,0.86,1,1,2182521,0.803,1750009,0.644,50705,0.022,9100,0.05,41605,0.019,3686,,-0.0019,0.0006,-0.0021,0,2181404,0.928,1749433,0.745,129036,0.708,77973,0.428,2052368,0.947,1671460,0.771,462192,0.999,386071,0.853,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.35,0.015,14666,751,0,0,0.17,,0.015,12582,644,0,0,298648,15293,3079,158,6,0,SustainedHotspot,,High,High,0.208,102718,5260,,,0.009,0.08,,,0.199,95477,4889,,,1734,35.2,217,4.4,0.85,0.34,0.91,0.5,0.51,0.22,-0.05,0.01,0.03,0.01,0.08,0.02,0.03,15,4932,568,1009,1,1,1,1,1318157,0.675,1058979,0.542,32353,0.019,6333,0.045,26020,0.017,2543,0.008,0.0002,0.0036,-0.0001,0.0005,1317587,0.783,1058909,0.629,83681,0.599,56087,0.401,1233906,0.8,1002822,0.65,324986,0.971,271342,0.811,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.29,0.015,14445,306,111,2.4,-0.1,0.73,0.019,16044,340,64,1.4,461560,9793,6914,147,4,0,SustainedHotspot,Recent,High,High,,83862,1779,1,0.99,,-0.14,0,0.01,0.184,97341,2065,1,0.99,2068,18.5,895,8,0.91,0.23,0.94,0.4,0.49,0.13,0.11,-0.01,0.05,0,0.1,0.04,0.04,50,11164,1367,3282,0.92,0.88,0.96,0.92,,,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.72,0.56,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.55,0.014,14040,313,53,1.2,0.13,-0.18,0.014,12457,278,65,1.4,616348,13741,10614,237,0,0,SustainedHotspot,,High,High,0.116,121043,2699,1,0.99,-0.01,0.27,0,0,0.127,95074,2120,1,1,776,7.5,820,8,0.7,0.1,0.6,0.18,0.36,0.11,0.09,0,0.01,0.02,0.02,0.02,0.02,42,10282,1458,1701,1,0.98,1,1,2337117,0.521,1956783,0.436,33585,0.009,6076,0.017,27509,0.008,2249,0.003,-0.0004,-0.0015,-0.0003,0.0001,2336869,0.615,1956734,0.515,148587,0.407,110817,0.304,2188282,0.637,1845917,0.538,600801,0.863,511685,0.735,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Uncertain
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.27,0.011,11176,558,75,3.7,0.16,0.7,0.011,9610,480,44,2.2,268970,13425,3814,190,5,0,SustainedHotspot,Recent,High,High,,45618,2277,2,0.99,,-0.04,0,-0.01,0.217,47758,2384,2,0.99,1235,18.5,253,3.8,0.67,0.16,0.94,0.46,0.51,0.15,0.18,-0.04,0.01,0.03,0.05,0.05,0.02,18,6683,645,1483,1,0.94,1,1,,,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.83,0.37,Likely Decreasing
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.48,0.011,10981,746,0,0,0.27,,0.01,8636,587,0,0,183784,12486,1832,124,6,0,SustainedHotspot,,High,High,0.23,43063,2926,,,0.01,0.08,,,0.22,40007,2718,,,1129,27.7,192,4.7,0.89,0.24,0.84,0.37,0.38,0.14,0.07,0.02,0.04,0,0.05,0.03,0.03,12,4076,546,681,1,0.92,1,1,842619,0.572,672791,0.457,18835,0.015,2708,0.025,16127,0.014,1386,0.006,-0.0006,-0.0089,0.0002,0.0005,842451,0.671,672768,0.536,49254,0.454,34748,0.32,793197,0.692,638020,0.556,207337,0.969,159962,0.747,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.39,0.01,9533,684,0,0,0.08,,0.01,8826,633,0,0,184091,13211,1310,94,3,0,SustainedHotspot,,High,High,0.207,38855,2788,,,0.006,0.06,,,0.201,36567,2624,,,1161,23.5,428,8.7,0.91,0.29,1.01,0.65,0.59,0.27,-0.04,-0.01,0.02,0.02,0.05,0.04,0.04,7,4940,485,844,1,0.86,1,1,883294,0.634,733790,0.527,19648,0.017,3135,0.03,16513,0.015,1162,0.007,-0.0014,-0.0065,-0.0009,-0.0004,880694,0.74,733376,0.616,63475,0.616,42726,0.415,817219,0.751,690650,0.635,162735,0.949,145099,0.846,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.67,0.55,Uncertain
"Palm Beach County, FL",12099,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1496770,0.243,0.07,0.005,1,24036,0.016,0.54,0.009,9170,613,0,0,0.18,,0.009,7799,521,0,0,182525,12195,2883,193,6,0,SustainedHotspot,,High,High,0.22,55258,3692,,,0.005,0.06,,,0.215,51996,3474,,,1039,28.1,115,3.1,0.88,0.26,0.8,0.47,0.37,0.18,0.01,0.02,0.03,0.02,0.05,0.05,0.04,15,3695,476,733,1,0.93,1,1,929232,0.621,784189,0.524,18789,0.014,2638,0.027,16151,0.013,2577,0.007,-0.0007,-0.012,0.0002,0.0027,928923,0.708,784145,0.598,47101,0.477,32409,0.328,881822,0.727,751736,0.62,329168,0.903,292315,0.802,0.14,0.13,0.24,2.6,0.19,0.23,0,0.03,0.56,0.4,Uncertain
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.45,0.009,8986,269,18,0.5,0.07,0.2,0.01,8376,251,15,0.4,319582,9573,3839,115,0,0,SustainedHotspot,,High,High,0.086,121218,3631,,,0.005,0.17,,,0.081,103214,3092,,,502,8.7,214,3.7,0.76,0.1,0.79,0.22,0.27,0.07,0.18,0,0.01,0.02,0.06,0.02,0.02,20,5743,628,1467,1,0.95,1,1,3088415,0.925,1519421,0.455,36946,0,6370,0.027,30576,,3605,,0,-0.003,0,0,3080526,0.999,1515850,0.531,191970,0.824,103152,0.443,2888556,0.999,1412698,0.538,696131,0.999,294418,0.608,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.28,Uncertain
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2635516,0.348,0.091,0.008,2,40184,0.015,0.28,0.008,8115,308,33,1.3,0.12,0.65,0.008,7255,275,20,0.8,337413,12803,4273,162,3,0,SustainedHotspot,Recent,High,High,,37369,1418,1,0.99,,-0.21,0,0.01,0.152,47327,1796,1,0.98,769,12.9,1726,28.9,0.92,0.16,0.94,0.35,0.44,0.08,-0.12,0.02,0.03,0.03,0.06,0.02,0.02,31,5973,747,1920,1,0.94,1,1,,,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0.21,0.17,0.11,2.8,0.23,0.41,0,0.07,0.75,0.6,Uncertain
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2102515,0.278,0.073,0.006,2,36456,0.017,0.45,0.008,8039,382,36,1.7,0.39,0.57,0.007,5802,276,23,1.1,290845,13833,3728,177,3,0,SustainedHotspot,Recent,High,High,,24854,1182,1,1,,-0.15,0,0,0.208,29100,1384,1,0.99,867,19.9,483,11.1,0.88,0.2,0.91,0.42,0.39,0.07,0.21,0.01,0.03,-0.01,0.04,0.03,0.02,27,4362,459,1353,1,1,1,1,,,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0.16,0.13,0.12,2.9,0.17,0.29,0,0.06,0.55,0.34,Uncertain
"Polk County, FL",12105,Medium metro,"Lakeland-Winter Haven, FL",Metropolitan,FL,4,724777,1,0.034,0.002,1,9774,0.013,0.57,0.007,6512,898,0,0,0.14,,0.007,5705,787,0,0,93848,12949,1387,191,6,0,SustainedHotspot,,High,High,0.275,21785,3006,,,0.029,0.07,,,0.246,20423,2818,,,714,46.1,86,5.6,0.83,0.39,0.99,0.49,0.79,0.53,0.2,0.02,0.05,0.02,0.08,0.11,0.13,5,1549,168,169,1,0.8,1,1,368710,0.509,299258,0.413,10410,0.017,1394,0.025,9016,0.016,1011,0.007,-0.001,-0.0069,-0.0004,-0.001,368473,0.593,299209,0.482,18546,0.334,11974,0.216,349927,0.619,287235,0.508,128400,0.867,110683,0.747,0.13,0.17,0.2,2.8,0.15,0.25,0,0.02,0.9,0.86,Uncertain
"Pinellas County, FL",12103,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,974996,0.305,0.045,0.003,0,4849,0.005,0.74,0.006,6418,658,0,0,0.25,,0.006,5116,525,0,0,103251,10590,1671,171,6,0,SustainedHotspot,,High,High,0.217,33487,3435,,,0.02,0.05,,,0.197,31914,3273,,,831,27,123,4,0.78,0.22,0.82,0.39,0.43,0.19,0.03,0,0.03,-0.01,0.06,0.05,0.05,13,3074,372,418,1,0.92,1,1,589506,0.605,509709,0.523,10359,0.012,1296,0.024,9063,0.011,1110,0.004,-0.0011,-0.0077,-0.0007,0.0002,589163,0.674,509686,0.583,21995,0.407,15673,0.29,567168,0.692,494013,0.602,214902,0.868,193620,0.782,0.11,0.13,0.25,2.3,0.1,0.1,0,0.03,0.52,0.46,Uncertain
"Duval County, FL",12031,Large central metro,"Jacksonville, FL",Metropolitan,FL,4,957755,0.614,0.045,0.003,2,22658,0.024,0.52,0.006,6375,666,0,0,-0.22,,0.009,8157,852,0,0,140536,14673,1483,155,0,0,SustainedHotspot,,High,High,0.211,34483,3600,,,-0.021,-0.02,,,0.233,35226,3678,,,813,25.5,132,4.1,0.91,0.39,0.97,0.59,0.52,0.31,-0.24,0.01,-0.01,0.01,0.03,-0.04,-0.07,8,3187,328,725,1,0.62,1,1,528127,0.551,427446,0.446,13048,0.016,1676,0.025,11372,0.015,948,0.007,-0.0051,-0.0155,-0.0041,-0.0018,528035,0.653,427435,0.528,27570,0.412,17765,0.265,500465,0.674,409670,0.552,133236,0.961,115192,0.831,0.12,0.16,0.14,2.6,0.3,0.11,0,0.05,0.69,0.51,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.42,0.006,6271,122,46,0.9,0.13,0.53,0.006,5573,108,30,0.6,579716,11256,10661,207,6,0,Hotspot,Recent,High,High,0.045,141157,2741,0,0.92,0.004,0.06,0,0.03,0.041,133198,2586,0,0.88,475,3.4,917,6.5,0.75,0.04,0.7,0.07,0.27,0.02,0.12,0.01,0.01,0.01,0.02,0.01,0.01,52,14078,1682,3113,1,0.94,1,1,3507339,0.681,2702994,0.525,43517,0.01,8243,0.022,35274,0.009,3823,0.005,-0.0003,-0.0018,-0.0002,0.0002,3495645,0.793,2696471,0.611,250173,0.671,165780,0.445,3245472,0.804,2530691,0.627,691175,0.89,564360,0.727,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.68,0.73,Uncertain
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,3175692,0.24,0.08,0.01,3,81888,0.026,0.4,0.006,5993,189,14,0.4,0.13,0.56,0.006,5315,167,9,0.3,297785,9377,5169,163,1,0,SustainedHotspot,Recent,High,High,0.084,76547,2410,,,-0.001,0.2,,,0.085,63531,2001,,,453,9.1,132,2.7,0.78,0.11,0.79,0.21,0.25,0.05,0.09,-0.01,0.01,0.01,0.05,0.01,0.01,28,4966,563,1379,1,1,1,1,2087401,0.657,1822054,0.574,26411,0.01,5229,0.022,21182,0.009,1622,0.003,-0.0011,-0.006,-0.0006,-0.0002,2081237,0.763,1818315,0.667,147365,0.612,120028,0.498,1933872,0.778,1698287,0.683,444487,0.915,391878,0.807,0.08,0.12,0.15,3,0.02,0.34,0,0.21,0.42,0.47,Uncertain
