County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.017,18785,399,251,5.3,0.32,0.21,0.013,14200,301,207,4.4,530062,11246,7678,163,0,7,SustainedHotspot,,High,High,0.142,132367,2808,1,0.98,-0.009,-0.04,0,0.04,0.151,138020,2928,1,0.94,1659,14.6,0.92,0.24,0.94,0.45,0.53,0.17,-0.13,0,-0.01,0,-0.01,0.02,0,50,11388,1485,3389,0.92,0.88,0.96,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557,Uncertain
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2102515,0.278,0.073,0.006,2,36456,0.017,0.016,17321,824,93,4.4,1.68,0.24,0.006,6466,308,75,3.6,328097,15605,4027,192,2,0,SustainedHotspot,Continuing,High,High,0.167,50376,2396,1,0.98,-0.009,-0.14,0,0,0.176,58517,2783,1,0.97,910,21.2,0.91,0.25,0.95,0.55,0.47,0.12,-0.07,0,0,0.02,0.04,0.03,0.01,28,4283,497,1483,0.96,0.93,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,0.12,2.9,0.17,0.29,0,0.06,0.548,0.343,Uncertain
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.013,13547,135,236,2.4,-0.05,0.22,0.013,14299,142,193,1.9,1435163,14296,25713,256,0,14,SustainedHotspot,,High,High,0.028,592364,5901,,,0.005,-0.43,,,0.023,1044841,10408,,,810,4.6,0.78,0.07,0.77,0.18,0.28,0.06,-0.24,0,-0.02,-0.02,-0.02,0,0,91,17622,2087,5139,0.95,0.92,0.98,0.95,6759081,0.673,5854674,0.583,59633,0.007,10183,0.014,49450,0.006,3903,0.003,-0.0002,-0.0001,-0.0003,-0.0003,6740787,0.782,5843062,0.678,493738,0.681,417801,0.576,6247049,0.791,5425261,0.687,1244712,0.88,1075742,0.761,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489,Uncertain
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2635516,0.348,0.091,0.008,2,40184,0.015,0.012,13021,494,110,4.2,0.33,0.49,0.009,9767,371,74,2.8,371656,14102,4574,174,1,0,SustainedHotspot,New,High,High,0.119,66108,2508,1,0.98,-0.015,-0.12,0,0.01,0.134,74725,2835,1,0.97,809,13.1,0.91,0.2,0.94,0.38,0.49,0.09,-0.08,0,0,-0.01,-0.01,0,0,31,6170,816,2135,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.17,0.11,2.8,0.23,0.41,0,0.07,0.754,0.6,Likely Decreasing
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.011,12130,270,148,3.3,-0.24,0.01,0.015,16056,358,147,3.3,668223,14898,11075,247,0,3,SustainedHotspot,,High,High,0.115,111124,2477,1,0.99,0.007,-0.22,0,0,0.108,142855,3185,1,0.99,924,8.9,0.71,0.12,0.65,0.24,0.44,0.17,-0.09,0,0.01,0.02,0.01,0.03,0.01,42,10383,1448,1706,1,0.98,1,1,2455313,0.547,2096121,0.467,25592,0.007,4069,0.011,21523,0.006,1664,0.002,-0.0032,-0.0082,-0.0027,-0.0016,2455011,0.646,2096065,0.552,169981,0.466,137146,0.376,2285030,0.666,1958919,0.571,608902,0.874,525462,0.755,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.009,9620,354,207,7.6,-0.2,-0.05,0.011,12080,445,219,8.1,649123,23892,7730,285,0,15,SustainedHotspot,,High,High,0.081,158580,5837,,,-0.002,-0.14,,,0.083,185402,6824,,,673,11,0.84,0.17,0.8,0.32,0.38,0.14,-0.22,-0.02,-0.05,-0.01,-0.05,-0.04,-0.03,22,6132,906,2012,1,0.86,1,1,2309380,0.85,1902375,0.7,28268,0.012,3483,0.019,24785,0.011,2352,,-0.0022,-0.0042,-0.0021,0,2308224,0.982,1901783,0.809,146578,0.804,103749,0.569,2161646,0.997,1798034,0.83,473047,0.999,398946,0.881,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.818,0.814,Uncertain
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.007,7986,543,144,9.8,-0.19,0.31,0.009,9800,666,110,7.5,224720,15267,2409,164,0,7,SustainedHotspot,,High,High,0.136,38263,2599,,,-0.021,-0.15,,,0.158,45260,3075,,,790,19.3,0.88,0.21,0.84,0.4,0.48,0.16,-0.24,0,-0.02,-0.01,-0.03,0,-0.02,12,4085,544,720,1,0.92,1,1,893937,0.607,732166,0.497,11932,0.01,1444,0.013,10488,0.009,943,0.004,-0.0017,-0.0029,-0.0016,-0.0008,893749,0.712,732137,0.583,56081,0.517,44644,0.412,837668,0.73,687493,0.6,211477,0.988,165273,0.772,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.504,Likely Decreasing
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.007,7165,139,77,1.5,0.02,0.15,0.007,7051,137,67,1.3,606266,11772,10893,212,0,0,SustainedHotspot,,High,High,0.033,158396,3076,0,0.98,-0.005,-0.03,0,0,0.039,163297,3171,0,0.98,528,3.8,0.75,0.05,0.73,0.11,0.3,0.04,0,0,0,0.01,0,0.01,0,52,14028,1661,3124,1,0.96,1,1,3629694,0.705,2811720,0.546,28297,0.006,3742,0.01,24555,0.006,2389,0.003,-0.0012,-0.0015,-0.0012,-0.0006,3617988,0.82,2805186,0.636,269219,0.722,188767,0.506,3348769,0.83,2616419,0.648,702359,0.905,572936,0.738,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.007,7059,361,186,9.5,-0.2,-0.1,0.008,8845,453,206,10.5,339743,17398,4090,209,0,13,SustainedHotspot,,High,High,0.122,83739,4288,,,-0.011,-0.18,,,0.133,102053,5226,,,708,14.8,0.81,0.22,0.9,0.47,0.5,0.21,-0.24,-0.01,-0.05,-0.01,-0.02,-0.02,-0.03,15,4797,570,1075,1,1,1,1,1387893,0.711,1150758,0.589,15839,0.009,2054,0.015,13785,0.009,1539,0.005,-0.0017,-0.0012,-0.0017,-0.0007,1387316,0.825,1150684,0.684,92532,0.662,72344,0.518,1294784,0.839,1078340,0.699,331873,0.992,279433,0.835,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.584,0.605,Uncertain
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.006,6275,313,168,8.4,-0.39,0.02,0.009,10215,510,165,8.2,300263,14987,4357,217,0,14,SustainedHotspot,,High,High,0.091,74102,3699,1,0.97,0.002,-0.17,0,-0.02,0.09,89736,4479,1,0.99,806,12.6,0.67,0.15,0.92,0.43,0.52,0.17,-0.24,0.01,-0.01,0,-0.01,-0.02,-0.01,18,6403,692,1521,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.826,0.373,Uncertain
