County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.024,15819,353,144,3.2,0.07,0.35,0.026,14773,329,107,2.4,783578,17469,12603,281,0,0,SustainedHotspot,,High,High,0.136,110285,2459,1,1,0.011,-0.04,0,0,0.124,115457,2574,1,0.99,1113,10.8,0.75,0.13,0.67,0.21,0.43,0.14,0.02,-0.02,0.01,0.01,0.01,0.01,0.01,42,10292,1461,1708,1,0.98,1,1,2670212,0.595,2296576,0.512,18308,0.005,1925,0.005,16383,0.005,3180,0.005,0.0002,0.0001,0.0002,0.0003,2640151,0.695,2296453,0.605,191638,0.525,160361,0.439,2448513,0.713,2136092,0.622,636151,0.914,562320,0.808,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.014,8819,171,61,1.2,0.21,0.52,0.013,7275,141,40,0.8,663016,12874,11429,222,1,0,SustainedHotspot,Recent,High,High,0.027,312930,6076,1,0.94,0.002,-0.01,0,-0.02,0.025,315186,6120,1,0.96,456,3.2,0.73,0.04,0.7,0.08,0.29,0.02,0.25,0,0.01,0,0.01,-0.01,0,52,14071,1648,3073,1,0.94,1,1,3618472,0.703,3282784,0.637,-12040,-0.003,418,0.001,-12458,-0.003,-8822,-0.011,-0.0117,-0.0083,-0.0121,-0.021,3602707,0.817,3275265,0.743,266874,0.716,238947,0.641,3335833,0.826,3036318,0.752,699352,0.901,637352,0.821,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.175,0.005,1,25758,0.015,0.013,8544,488,87,5,0.83,0.93,0.008,4671,267,45,2.6,218079,12466,5772,330,5,0,SustainedHotspot,Continuing,High,High,0.111,77023,4403,0,0.97,0.025,-0.21,0,-0.01,0.086,98117,5609,0,0.98,467,11,0.87,0.13,0.79,0.2,0.35,0.07,0.19,0,0.03,-0.01,0.03,0,0.01,18,4253,552,1133,1,0.94,1,1,944210,0.54,865177,0.495,4710,0.003,253,0.002,4457,0.003,907,0.003,0.0005,0.0003,0.0006,0.0006,943935,0.64,865158,0.586,53545,0.387,51639,0.373,890390,0.666,813519,0.608,236282,0.854,218752,0.791,0.07,0.23,0.16,2.6,0.38,0.06,0,0.04,0.872,0.72
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.013,8457,84,148,1.5,-0.02,0.32,0.015,8648,86,112,1.1,1519781,15139,27010,269,0,0,Hotspot,,Substantial,Substantial,0.014,853471,8501,,,0.004,-0.17,,,0.01,1031856,10278,,,475,2.7,0.78,0.03,0.73,0.07,0.25,0.02,-0.04,0.01,0,-0.01,-0.01,-0.01,0,91,17796,2063,5023,0.95,0.91,0.98,0.95,7430063,0.74,6385568,0.636,65009,0.008,13145,0.018,51864,0.007,9306,0.007,-0.0004,0.001,-0.0005,-0.0004,7314674,0.849,6373859,0.739,589479,0.813,490366,0.676,6725195,0.852,5883493,0.745,1314788,0.93,1147517,0.812,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Unallocated, UT",49000,,,,UT,8,,,,,,,,0.011,6992,,65,,7.07,3.64,0.002,866,,14,,29220,,283,,,,,,,,0.012,2004,,1,1,-0.008,0.26,,,0.02,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oakland County, MI",26125,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1257584,0.291,0.126,0.004,1,17236,0.014,0.009,6123,487,32,2.5,0.6,0.68,0.007,3816,303,19,1.5,160301,12747,2761,220,5,0,SustainedHotspot,Continuing,High,High,0.135,37349,2970,1,0.95,0.018,-0.01,0,0,0.117,37676,2996,1,0.95,455,12.1,0.82,0.12,0.79,0.21,0.3,0.05,0.26,0.01,0.03,0.01,0.04,0.04,0.02,13,3764,391,722,1,1,1,1,828884,0.659,779789,0.62,3512,0.003,107,0.001,3405,0.003,688,0.003,0.0004,0.0004,0.0004,0.0002,828656,0.759,779772,0.714,51975,0.555,51452,0.549,776681,0.778,728320,0.73,199967,0.919,189639,0.871,0.05,0.09,0.17,2.5,0.14,0.04,0,0.08,0.114,0.156
"Hennepin County, MN",27053,Large central metro,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan,MN,5,1265843,0.348,0.224,0.004,1,45730,0.036,0.008,5246,414,20,1.6,0.15,0.25,0.008,4564,361,16,1.3,170874,13499,2000,158,1,0,SustainedHotspot,Recent,High,High,0.097,72062,5693,1,0.99,-0.004,-0.06,0,0,0.1,76363,6033,1,0.99,167,5.4,0.93,0.12,0.89,0.3,0.41,0.11,-0.15,-0.01,0.02,0.01,0.06,0.03,0.01,10,3071,334,670,1,0.9,1,1,929268,0.734,842471,0.666,4992,0.005,605,0.007,4387,0.004,694,0.004,0.0005,0.0003,0.0005,-0.0001,896948,0.832,840049,0.779,60682,0.683,57267,0.645,836266,0.845,782782,0.791,177162,0.965,168797,0.919,0.05,0.11,0.15,2.4,0.14,0.07,0.01,0.07,0.309,0.066
"Macomb County, MI",26099,Large fringe metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,873972,0.202,0.088,0.003,0,0,0,0.008,5189,594,45,5.1,0.67,0.45,0.006,3099,355,31,3.5,133501,15275,2809,321,7,0,SustainedHotspot,Continuing,High,High,0.174,25869,2960,1,0.97,0.017,0.03,0,0,0.157,25131,2875,1,0.96,114,8.6,0.87,0.16,0.86,0.25,0.53,0.11,-0.08,0.01,0.02,-0.03,0,0,0.01,5,1325,156,218,1,1,1,1,485946,0.556,464295,0.531,1889,0.002,48,0.001,1841,0.003,359,0.002,0.0003,0.0001,0.0003,0.0004,485862,0.642,464289,0.613,22923,0.354,23787,0.367,462939,0.669,440502,0.636,132401,0.87,127152,0.835,0.06,0.11,0.17,2.5,0.12,0.03,0,0.04,0.33,0.57
"Kent County, MI",26081,Large central metro,"Grand Rapids-Kentwood, MI",Metropolitan,MI,5,656955,0.61,0.066,0.002,0,10338,0.016,0.008,4961,755,23,3.5,0.82,0.35,0.005,2727,415,17,2.6,104450,15899,1050,160,7,0,SustainedHotspot,Continuing,High,High,0.23,22444,3416,1,0.91,0.024,0.04,0,0.01,0.205,21512,3275,1,0.9,307,18.3,0.89,0.2,0.91,0.4,0.48,0.18,0.19,0,0.04,0,0.01,0.02,0.04,4,1682,191,393,1,1,1,1,384820,0.586,371411,0.565,1395,0.003,63,0.001,1332,0.003,228,0.002,0.0004,0.0003,0.0004,0,384707,0.696,371405,0.672,24965,0.473,26172,0.496,359742,0.72,345233,0.691,83240,0.897,79854,0.86,0.07,0.13,0.14,2.6,0.1,0.11,0,0.03,0.476,0.262
"Pima County, AZ",4019,Medium metro,"Tucson, AZ",Metropolitan,AZ,9,1047279,1,0.144,0.003,1,36213,0.035,0.007,4353,416,37,3.5,0.21,-0.03,0.006,3597,343,38,3.6,155421,14840,2844,272,0,0,SustainedHotspot,,High,High,0.157,21929,2094,1,0.99,0.024,0,0,-0.01,0.133,21917,2093,1,0.99,230,10.7,0.86,0.16,0.63,0.23,0.42,0.17,0.21,0.01,0.03,0.03,0.04,0.06,0.03,13,2141,408,438,1,0.92,1,1,738980,0.706,638658,0.61,6657,0.007,964,0.013,5693,0.007,1256,0.006,0.001,-0.0001,0.0011,-0.0001,728533,0.804,638410,0.705,50446,0.683,40815,0.553,678087,0.815,597595,0.718,211393,0.995,191776,0.902,0.1,0.18,0.2,2.5,0.03,0.38,0.02,0.03,0.883,0.298
