County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.033,128839,1283,70,0.7,0.78,-0.39,0.035,72512,722,115,1.1,1771164,17643,27419,273,11,0,SustainedHotspot,,High,High,0.222,620673,6183,,,0.091,-0.1,,,0.13,691520,6888,,,2523,14.5,0.77,0.11,0.75,0.13,0.28,0.03,1.2,0.02,0.05,0.02,0.04,0.01,0.01,91,17430,2043,5030,0.95,0.92,0.98,0.95,7881305,0.785,6793590,0.677,20885,0.025,50127,0.006,4473,0.006,45654,0.006,5867,0.004,0.0117,0.0016,0.0023,0.0016,0.0014,239831,0.286,155605,0.185,7640536,0.886,6637693,0.77,625536,0.863,534158,0.737,7015000,0.889,6103535,0.773,1355967,0.95,1180603,0.835,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.025,99926,3678,18,0.7,0.91,-0.31,0.025,52435,1930,26,1,854670,31457,9278,341,6,0,SustainedHotspot,Continuing,High,High,0.354,363365,13374,,,0.056,-0.06,,,0.297,386160,14213,,,2509,37.4,0.81,0.22,0.71,0.18,0.27,0.05,0.94,0.04,0.13,0.03,0.1,0.01,0.03,23,6700,976,2079,1,0.96,1,1,2666229,0.95,2193942,0.808,3354,0.016,12244,0.005,929,0.005,11315,0.005,1432,0.003,-0.0018,-0.0023,-0.0009,-0.0024,-0.0017,45154,0.215,24150,0.115,2619971,0.95,2169206,0.923,170196,0.934,128821,0.707,2449775,0.95,2040385,0.941,518133,0.95,433574,0.95,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.818,0.814
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.133,0.132,0.008,0,15416,0.006,0.02,79740,3115,102,4,0.45,0.65,0.027,55155,2155,62,2.4,524070,20472,11247,439,12,0,SustainedHotspot,Recent,High,High,0.3,249142,9732,1,0.89,0.104,-0.22,-1,0.01,0.196,317541,12404,2,0.88,1051,28,0.77,0.27,0.82,0.34,0.22,0.06,0.87,-0.01,0.13,0.04,0.16,0.02,0.03,13,3754,337,1166,1,0.92,1,1,2060895,0.805,1706384,0.667,5076,0.023,24432,0.011,1805,0.01,22627,0.011,1766,0.005,-0.0008,-0.0044,-0.001,-0.0047,-0.0015,65776,0.294,39690,0.177,1994915,0.926,1666655,0.774,122962,0.707,104458,0.6,1871953,0.946,1562197,0.789,316217,0.86,279986,0.761,0.08,0.21,0.14,2.7,0.3,0.19,0,0.12,0.815,0.912
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2253858,0.117,0.116,0.007,2,29190,0.013,0.02,77367,3433,78,3.5,0.8,0.47,0.021,42910,1904,53,2.4,475533,21099,10623,471,14,0,SustainedHotspot,Continuing,High,High,0.339,199727,8862,1,0.88,0.127,-0.08,0,-0.01,0.213,216629,9611,1,0.9,1072,30.8,0.85,0.27,0.69,0.26,0.42,0.08,0.85,0.05,0.13,0.04,0.11,0.03,0.03,7,3484,284,648,1,1,1,1,2205412,0.95,1816937,0.806,6208,0.036,28976,0.015,1623,0.012,27353,0.015,2882,0.008,-0.0055,-0.0042,-0.0014,-0.0044,-0.0015,69917,0.403,37210,0.214,2135353,0.95,1779696,0.916,138956,0.95,121128,0.86,1996397,0.95,1658568,0.92,381429,0.95,317208,0.861,0.11,0.13,0.16,2.9,0.18,0.28,0,0.26,0.62,0.832
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.019,74639,1449,171,3.3,0.27,0.15,0.029,58811,1142,149,2.9,883180,17148,12131,236,9,0,SustainedHotspot,Recent,High,High,0.19,373152,7245,1,0.8,0.037,-0.09,0,-0.05,0.153,410058,7962,1,0.85,2579,18.5,0.72,0.2,0.73,0.27,0.34,0.09,0.37,0.02,0.06,0.02,0.05,0.02,0.02,52,13949,1613,3130,1,0.92,1,1,3974578,0.772,3488733,0.677,12552,0.029,52243,0.012,4727,0.013,47516,0.012,4535,0.006,0.0085,0.0083,0.0055,0.0086,0.0055,168083,0.391,116944,0.272,3806189,0.863,3371686,0.765,284341,0.763,251146,0.674,3521848,0.872,3120540,0.773,717575,0.924,647286,0.834,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.017,66069,1402,48,1,1.12,0.41,0.015,31191,662,34,0.7,710716,15079,9779,207,9,0,SustainedHotspot,Continuing,High,High,0.387,152136,3228,1,0.96,0.089,-0.11,0,-0.02,0.297,170721,3622,1,0.98,2188,20.6,0.87,0.16,0.91,0.19,0.33,0.04,0.79,0.02,0.07,0.02,0.07,0.01,0.01,51,10624,1225,3373,0.9,0.82,0.94,0.9,3341666,0.709,2838310,0.602,11845,0.024,16871,0.004,2218,0.005,14653,0.004,1264,0.002,0.0083,-0.0001,0.0006,-0.0002,-0.0008,101126,0.208,57027,0.117,3239946,0.836,2781083,0.717,288438,0.703,239086,0.583,2951508,0.851,2541997,0.733,504118,0.95,450426,0.876,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"Bronx County, NY",36005,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1418207,0.074,0.073,0.004,2,28996,0.02,0.013,52709,3717,66,4.7,0.8,1.2,0.014,29256,2063,30,2.1,309787,21844,6956,490,14,0,SustainedHotspot,Continuing,High,High,0.392,101908,7186,1,0.88,0.153,-0.06,0,-0.04,0.239,108262,7634,1,0.91,1041,29.1,0.74,0.22,0.77,0.3,0.24,0.05,0.71,0.04,0.12,0.08,0.15,0.01,0.02,8,3573,359,1077,1,0.88,1,1,1144335,0.807,963395,0.679,4000,0.029,12145,0.01,1247,0.011,10898,0.01,856,0.005,-0.0022,-0.0039,-0.001,-0.0042,-0.0011,36909,0.269,15899,0.116,1107332,0.938,947453,0.802,92893,0.834,77698,0.697,1014439,0.948,869755,0.813,178347,0.945,158741,0.841,0.1,0.29,0.13,2.8,0.29,0.56,0,0.04,0.993,0.994
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.012,48737,2496,14,0.7,1.07,0.17,0.011,23532,1205,12,0.6,442977,22684,4992,256,6,0,SustainedHotspot,Continuing,High,High,0.383,150740,7719,,,0.061,0.06,,,0.321,142799,7313,,,1538,37.8,0.81,0.2,0.77,0.16,0.35,0.05,0.62,0.04,0.11,0.05,0.09,0.03,0.02,14,4067,469,913,1,1,1,1,1591813,0.815,1327019,0.68,1936,0.012,7652,0.005,610,0.004,7042,0.005,1619,0.005,-0.0017,-0.0017,-0.0002,-0.0019,-0.003,36712,0.232,22960,0.145,1554537,0.924,1303992,0.775,105380,0.754,87470,0.626,1449157,0.939,1216522,0.789,365202,0.95,300628,0.898,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.584,0.605
"New York County, NY",36061,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1628706,0.085,0.084,0.005,11,178189,0.109,0.012,46563,2859,45,2.8,0.09,0.96,0.021,42816,2629,23,1.4,304048,18668,4764,293,6,0,SustainedHotspot,Recent,High,High,0.27,179917,11047,1,0.91,0.084,-0.43,0,0.03,0.186,315472,19369,1,0.88,2232,22.3,0.76,0.19,0.79,0.22,0.28,0.05,0.91,0.02,0.1,0.01,0.09,0.02,0.02,15,10000,990,2139,1,0.93,1,1,1681557,0.95,1320168,0.811,2035,0.023,16744,0.011,896,0.013,15848,0.011,931,0.003,-0.0055,-0.004,-0.0033,-0.0041,-0.001,50970,0.578,34171,0.387,1630359,0.95,1285948,0.878,80337,0.95,60436,0.89,1550022,0.95,1225512,0.878,277750,0.95,237668,0.861,0.06,0.17,0.17,2.1,0.12,0.26,0,0.13,0.551,0.32
"Nassau County, NY",36059,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1356924,0.071,0.07,0.004,4,39330,0.029,0.011,43444,3202,36,2.7,0.54,0.44,0.014,28281,2084,25,1.8,323887,23869,3430,253,13,0,SustainedHotspot,Recent,High,High,0.335,103156,7602,1,0.87,0.117,-0.1,0,-0.03,0.218,115039,8478,1,0.9,772,25.6,0.77,0.22,0.66,0.2,0.35,0.09,0.83,0.05,0.1,0.02,0.06,0.02,0.03,8,3010,367,379,1,1,1,1,1253140,0.924,1042867,0.769,2512,0.022,11345,0.01,905,0.009,10440,0.01,1427,0.006,-0.0038,-0.0022,-0.0019,-0.0022,-0.0007,36157,0.32,22146,0.196,1216840,0.95,1020687,0.873,85345,0.822,75024,0.723,1131495,0.95,945663,0.887,291554,0.95,233822,0.948,0.05,0.06,0.18,3,0.12,0.17,0,0.11,0.243,0.174
