County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.045,82765,824,502,5,-0.44,0.12,0.045,149122,1485,447,4.5,2719060,27085,29180,291,0,5,SustainedHotspot,,High,High,,328820,3275,,,,-0.53,,,0.102,696485,6938,,,2329,12.8,0.8,0.18,0.81,0.3,-0.27,-0.01,-0.05,-0.01,-0.06,91,18167,2153,0.95,0.95,0.98,0.95,7945011,0.791,7055211,0.703,9069,0.011,28770,0.003,2914,0.004,25856,0.003,2804,0.002,-0.0017,0.0229,0.0211,0.023,0.0331,310703,0.37,233176,0.278,7632030,0.885,6821384,0.791,629724,0.869,565935,0.781,7002306,0.887,6255449,0.792,1328456,0.94,1197043,0.847,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Unallocated, TN",47000,,,,TN,4,,,,,,,,0.034,62720,,297,,5.46,13.85,0.003,9714,,20,,140509,,715,,,,,,,,,0,,,,,-1,,,0.667,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.017,30308,676,252,5.6,-0.51,-0.26,0.019,61360,1368,341,7.6,1214267,27071,14987,334,0,2,SustainedHotspot,,High,High,0.267,137999,3077,1,0.99,-0.081,-0.17,0,0.01,0.348,165548,3691,1,0.98,1740,17.2,0.8,0.19,0.76,0.27,-0.27,-0.02,-0.03,-0.02,-0.02,42,10120,1190,0.98,0.98,1,0.98,2931441,0.654,2486454,0.554,3402,0.008,11060,0.003,1689,0.005,9371,0.003,1139,0.002,-0.0024,-0.0005,-0.0014,-0.0004,-0.0001,101138,0.246,61891,0.151,2830035,0.745,2424532,0.638,212933,0.583,176002,0.482,2617102,0.762,2248530,0.655,663666,0.95,579764,0.833,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.014,25345,759,121,3.6,-0.51,0.22,0.015,51310,1537,99,3,755534,22632,4786,143,1,4,SustainedHotspot,Recent,High,High,,104585,3133,,,,-0.46,,,0.203,193548,5798,,,727,12.3,0.77,0.18,0.83,0.3,-0.24,0,-0.04,0,-0.04,20,5917,652,1,1,1,1,3409457,0.95,2263041,0.678,5401,0.019,35261,0.012,3850,0.017,31411,0.012,4108,0.008,0.0742,0.4789,0.2182,0.5021,0.8125,137474,0.493,87871,0.315,3271065,0.95,2175014,0.761,240289,0.95,166603,0.715,3030776,0.95,2008411,0.766,645265,0.95,404742,0.835,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.011,19755,986,70,3.5,-0.38,-0.14,0.01,31948,1595,81,4,527663,26336,5612,280,0,2,SustainedHotspot,,High,High,0.252,95204,4752,1,0.99,-0.054,-0.24,0,0.07,0.306,124589,6218,1,0.91,872,13.3,0.62,0.15,0.95,0.37,-0.01,0,0.01,0.01,0.03,18,6570,613,1,1,1,1,1629688,0.813,1352420,0.675,2185,0.011,5634,0.003,697,0.004,4937,0.003,602,0.002,-0.0011,-0.0004,-0.0012,-0.0003,0.0005,65863,0.332,40557,0.204,1563579,0.938,1311817,0.787,143704,0.849,117497,0.694,1419875,0.948,1194320,0.798,272352,0.95,230665,0.931,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.826,0.373
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2102515,0.278,0.073,0.006,2,36456,0.017,0.011,19706,937,73,3.5,-0.05,-0.35,0.006,20806,990,112,5.3,542567,25806,5350,254,0,3,SustainedHotspot,,High,High,0.235,47170,2244,1,0.99,-0.069,-0.31,0,0,0.304,68341,3250,1,0.98,812,20.1,0.91,0.23,0.95,0.42,-0.29,-0.01,-0.05,-0.02,-0.07,28,4035,450,0.93,0.93,0.96,0.93,1331434,0.633,1156196,0.55,925,0.004,2969,0.002,388,0.002,2581,0.002,297,0.001,-0.0031,-0.0031,-0.0022,-0.0032,-0.003,44720,0.209,30161,0.141,1286498,0.737,1125979,0.645,107967,0.57,90714,0.479,1178531,0.758,1035265,0.666,224714,0.919,203681,0.833,0.16,0.13,0.12,2.9,0.17,0.29,0,0.06,0.548,0.343
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.009,16936,359,133,2.8,-0.34,-0.15,0.008,25654,544,156,3.3,971087,20603,10302,219,0,11,SustainedHotspot,,High,High,0.162,119914,2544,0,0.97,-0.052,-0.22,-1,0.01,0.214,153170,3250,1,0.97,1325,11.9,0.89,0.16,0.93,0.24,-0.18,0,-0.03,0,-0.04,51,11097,1313,0.9,0.88,0.94,0.9,3439496,0.73,2922641,0.62,3124,0.006,8646,0.002,1136,0.003,7510,0.002,598,0.001,-0.0014,-0.0004,-0.0002,-0.0004,-0.0004,128950,0.265,88672,0.182,3309904,0.854,2833755,0.731,297474,0.725,247643,0.603,3012430,0.869,2586112,0.746,509240,0.95,454340,0.884,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.009,16208,597,238,8.8,-0.3,0.25,0.007,23019,847,190,7,1144618,42129,9993,368,0,15,SustainedHotspot,,High,High,0.142,147054,5412,,,-0.045,-0.29,,,0.186,207197,7626,,,644,9.4,0.8,0.12,0.76,0.17,-0.37,-0.02,-0.06,-0.02,-0.07,23,6880,1045,1,1,1,1,2758329,0.95,2248336,0.828,1565,0.007,13506,0.006,674,0.004,12832,0.006,852,0.002,-0.0025,-0.0001,-0.0007,-0.0001,-0.0002,59776,0.284,39981,0.19,2697383,0.95,2207747,0.94,175713,0.95,133491,0.732,2521670,0.95,2074256,0.95,524570,0.95,437627,0.95,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.818,0.814
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,3175692,0.24,0.08,0.01,3,81888,0.026,0.008,14418,454,73,2.3,-0.41,-0.43,0.007,24500,771,128,4,567448,17868,6171,194,0,6,SustainedHotspot,,High,High,,94934,2989,,,,-0.34,,,0.125,143972,4534,,,487,9.1,0.74,0.14,0.81,0.24,-0.41,-0.02,-0.05,-0.01,-0.06,28,5332,560,1,1,1,1,2473579,0.779,2228206,0.702,2386,0.009,7800,0.003,904,0.004,6896,0.003,712,0.001,-0.0013,0.0299,0.0192,0.031,0.0464,97429,0.369,75585,0.286,2375235,0.871,2152382,0.789,187103,0.776,170077,0.706,2188132,0.88,1982305,0.797,474257,0.95,432081,0.89,0.08,0.12,0.15,3,0.02,0.34,0,0.21,0.419,0.466
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.007,13161,256,245,4.8,-0.24,-0.26,0.005,17373,337,329,6.4,1093945,21241,13587,264,0,13,SustainedHotspot,,High,High,0.036,341456,6630,0,0.98,-0.016,-0.21,-1,0.02,0.052,434123,8429,1,0.95,867,6.3,0.74,0.1,0.75,0.16,-0.28,-0.01,-0.04,-0.01,-0.05,52,13664,1564,0.96,0.96,1,0.98,4146773,0.805,3611119,0.701,5662,0.013,9907,0.002,2428,0.007,7479,0.002,-9,0,-0.0027,-0.0018,-0.0022,-0.0018,-0.0012,212675,0.494,162938,0.379,3932662,0.892,3447852,0.782,305339,0.819,265402,0.712,3627323,0.899,3182450,0.788,722529,0.931,651425,0.839,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Tulsa County, OK",40143,Medium metro,"Tulsa, OK",Metropolitan,OK,6,651552,0.652,0.165,0.002,0,7104,0.011,0.006,11743,1802,19,2.9,-0.07,-0.27,0.004,12617,1936,26,4,161879,24845,1899,291,3,0,SustainedHotspot,,High,High,0.325,12663,1944,1,0.98,-0.078,-0.36,0,-0.01,0.404,19820,3042,1,0.98,387,17.4,0.76,0.21,0.91,0.39,-0.22,-0.01,-0.01,-0.01,0.03,13,2220,273,0.92,0.92,1,0.92,487925,0.749,390957,0.6,223,0.003,1119,0.002,145,0.003,974,0.002,88,0.001,-0.0039,-0.0018,-0.0021,-0.0017,-0.0014,14100,0.22,10292,0.161,473794,0.874,380662,0.703,33238,0.619,27738,0.517,440556,0.903,352924,0.723,110292,0.95,88634,0.919,0.14,0.15,0.15,2.5,0.1,0.13,0.06,0.04,0.616,0.35
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2635516,0.348,0.091,0.008,2,40184,0.015,0.006,10798,410,88,3.3,-0.4,-0.03,0.005,18093,687,91,3.5,555210,21066,6128,233,0,6,SustainedHotspot,,High,High,0.222,50470,1915,1,0.97,-0.069,-0.29,0,-0.01,0.291,71360,2708,1,0.97,918,14,0.92,0.19,0.96,0.35,-0.34,0,-0.04,0,-0.04,31,6541,818,1,1,1,1,1831385,0.695,1548095,0.587,1260,0.005,4449,0.002,616,0.003,3833,0.002,302,0.001,-0.0041,-0.0016,-0.0016,-0.0016,-0.0009,61323,0.232,40285,0.152,1769762,0.812,1507730,0.692,146912,0.657,119787,0.536,1622850,0.83,1387943,0.71,279902,0.95,247634,0.848,0.21,0.17,0.11,2.8,0.23,0.41,0,0.07,0.754,0.6
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,9,2470546,0.531,0.063,0.007,2,33576,0.014,0.006,10187,412,98,4,-0.56,-0.08,0.007,23023,932,106,4.3,595930,24121,5865,237,0,5,SustainedHotspot,,High,High,,64494,2611,,,,-0.45,,,0.244,117184,4743,,,513,14.5,0.81,0.23,0.84,0.33,-0.28,-0.01,-0.05,0.01,-0.04,17,3544,428,1,1,1,1,1589972,0.644,1411530,0.571,2245,0.009,7201,0.003,1018,0.005,6183,0.003,711,0.002,0.0027,0.0249,0.0218,0.0253,0.0425,52173,0.216,36364,0.151,1537453,0.742,1375102,0.663,128341,0.592,113602,0.524,1409112,0.759,1261500,0.68,339949,0.929,303325,0.829,0.1,0.15,0.15,3.3,0.06,0.5,0,0.07,0.794,0.559
