County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,"People who have received a booster dose since August 13, 2021",People who have received a booster dose as % of fully vaccinated population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People receiving a booster dose - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People receiving a booster dose - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People receiving a booster dose - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,Booster doses administered - % change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,Booster doses administered - % change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,Booster doses administered - % change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People who have received a booster dose - ages 12-17,People who have received a booster dose as % of fully vaccinated population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People who have received a booster dose - ages 18+,People who have received a booster dose as % of fully vaccinated population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,People who have received a booster dose - ages 65+,People who have received a booster dose as % of fully vaccinated population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.037,22577,225,458,4.6,-0.27,0.04,0.028,30963,308,440,4.4,2777418,27666,30108,300,0,20,SustainedHotspot,,High,High,0.02,889932,8865,,,-0.014,0.13,,,0.034,788676,7856,,,1109,6.1,0.78,0.09,0.76,0.15,-0.34,-0.02,-0.04,-0.02,-0.06,91,18049,2067,0.95,0.95,0.98,0.95,8005499,0.797,7122476,0.709,3481547,0.489,5720,0.007,18845,0.002,1915,0.003,5902,16930,0.002,43987,1862,0.001,5908,-0.0017,-0.0005,-0.0007,-0.18,-0.0004,-0.24,-0.0003,-0.26,324634,0.387,258232,0.308,7677767,0.891,6863019,0.796,634459,0.875,571865,0.789,129259,0.226,7043308,0.892,6291154,0.797,3351969,0.533,1332949,0.943,1200526,0.849,886205,0.738,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.015,9318,279,80,2.4,0.07,-0.04,0.008,8722,261,83,2.5,779880,23361,4974,149,0,20,SustainedHotspot,,High,High,0.064,108103,3238,,,-0.034,-0.09,,,0.098,118574,3552,,,376,6.4,0.75,0.11,0.77,0.18,-0.29,-0.02,-0.03,-0.04,-0.06,20,5898,643,1,1,1,1,3459020,0.95,2290716,0.686,632130,0.276,3236,0.012,15872,0.006,1856,0.008,156,14016,0.005,2335,1985,0.004,359,-0.0015,-0.002,-0.0015,-0.02,-0.002,-0.54,-0.0015,-0.32,145022,0.52,94394,0.339,3312737,0.95,2195995,0.769,244877,0.95,168427,0.723,15368,0.091,3067860,0.95,2027568,0.773,616677,0.304,650483,0.95,406953,0.84,183380,0.451,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.015,9035,201,311,6.9,-0.45,0.33,0.015,16312,364,233,5.2,1242071,27691,15631,348,0,17,SustainedHotspot,,High,High,0.115,64644,1441,1,1,-0.062,-0.29,0,0.01,0.177,90649,2021,1,0.99,958,9.5,0.78,0.09,0.72,0.15,-0.31,0,-0.04,-0.02,-0.05,42,10094,1166,1,1,1,1,2953531,0.658,2511387,0.56,966387,0.385,2087,0.005,7190,0.002,1027,0.003,1658,6163,0.002,12789,627,0.001,2444,-0.0014,-0.0003,-0.0006,-0.11,-0.0003,-0.16,-0.0003,-0.21,106410,0.259,69740,0.17,2846830,0.75,2441616,0.643,215424,0.59,179153,0.491,32120,0.179,2631406,0.767,2262463,0.659,934018,0.413,665206,0.95,581279,0.835,332747,0.572,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.014,8265,175,92,2,-0.13,-0.35,0.009,9528,202,141,3,990143,21007,10567,224,0,26,SustainedHotspot,,High,High,0.06,89125,1891,0,0.95,-0.038,-0.15,0,-0.01,0.097,104897,2226,0,0.96,871,7.7,0.9,0.09,0.94,0.15,-0.06,0.01,-0.03,0.01,-0.04,51,11251,1294,0.9,0.86,0.94,0.9,3458928,0.734,2945706,0.625,994357,0.338,2140,0.004,6387,0.002,902,0.002,1938,5485,0.002,12115,405,0.001,1767,-0.0003,-0.0002,0.0001,0.45,-0.0002,-0.09,-0.0002,-0.23,133652,0.274,96687,0.198,3324620,0.857,2848800,0.735,299382,0.73,250012,0.609,32402,0.13,3025238,0.872,2598788,0.749,961857,0.37,510232,0.95,455305,0.886,269883,0.593,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"Ada County, ID",16001,Medium metro,"Boise City, ID",Metropolitan,ID,10,481587,0.643,0.269,0.001,1,13991,0.029,0.009,5343,1109,14,2.9,0.1,-0.48,0.004,4845,1006,27,5.6,121549,25239,980,203,0,0,SustainedHotspot,,High,High,0.113,8686,1804,0,0.97,-0.101,-0.32,0,0,0.214,12791,2656,0,0.97,67,7.7,0.86,0.16,0.86,0.29,-0.41,-0.01,-0.04,-0.05,-0.12,6,869,104,1,1,1,1,340189,0.706,305317,0.634,139363,0.456,115,0.003,509,0.001,53,0.001,3,456,0.001,1037,55,0.001,183,-0.0007,-0.0002,-0.0001,,-0.0002,-0.14,0,-0.27,14037,0.321,12222,0.279,326144,0.794,293083,0.714,24391,0.598,21667,0.531,12,0.001,301753,0.816,271416,0.734,139351,0.513,73401,0.95,68052,0.946,48367,0.711,0.08,0.11,0.15,2.6,0.01,0.09,0.01,0.03,0.137,0.02
"Jefferson County, KY",21111,Large central metro,"Louisville/Jefferson County, KY-IN",Metropolitan,KY,4,766757,0.606,0.172,0.002,1,22271,0.029,0.008,4971,648,30,3.9,-0.26,-0.14,0.006,6696,873,35,4.6,218681,28520,2016,263,0,19,SustainedHotspot,,High,High,0.113,11115,1450,1,0.97,-0.053,-0.32,0,0.02,0.166,16248,2119,1,0.96,245,9.5,0.83,0.11,0.88,0.18,-0.74,0.01,-0.04,-0.02,-0.03,7,2577,330,0.86,0.86,1,0.86,566203,0.738,482823,0.63,218792,0.453,301,0.005,1087,0.002,136,0.002,265,951,0.002,1824,67,0.001,390,-0.001,-0.0003,0,-0.26,-0.0003,-0.18,-0.0004,-0.19,22123,0.34,17592,0.271,543866,0.831,465216,0.711,36489,0.653,31726,0.567,6710,0.211,507377,0.848,433490,0.725,212062,0.489,125394,0.95,109935,0.861,77762,0.707,0.06,0.15,0.17,2.4,0.22,0.06,0,0.03,0.568,0.355
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.008,4691,173,167,6.1,-0.81,0.04,0.022,24188,890,160,5.9,1173497,43192,10320,380,0,30,HighBurdenResolving,,High,High,0.052,112652,4146,,,-0.032,-0.1,,,0.083,124528,4583,,,299,4.3,0.78,0.05,0.7,0.07,-0.29,-0.01,-0.03,-0.02,-0.04,23,6948,1043,1,1,1,1,2786575,0.95,2264960,0.834,707179,0.312,1101,0.005,12886,0.005,612,0.003,585,12274,0.006,8394,610,0.001,1713,-0.001,0.0008,0.0002,-0.1,0.0008,-0.18,-0.0001,-0.15,62407,0.297,43603,0.207,2722985,0.95,2220746,0.945,177001,0.95,134759,0.739,13422,0.1,2545984,0.95,2085987,0.95,693674,0.333,525920,0.95,438627,0.95,247116,0.563,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.818,0.814
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.008,4575,89,110,2.1,-0.38,-0.41,0.007,7392,144,186,3.6,1107288,21500,13936,271,0,28,HighBurdenResolving,,Substantial,High,0.016,286712,5567,0,0.99,-0.006,-0.02,0,0.01,0.022,291174,5654,0,0.98,417,3.1,0.74,0.05,0.7,0.08,-0.29,-0.01,-0.02,-0.03,-0.03,52,13514,1545,0.94,0.94,1,0.96,4160347,0.808,3652836,0.709,1788824,0.49,1927,0.004,4521,0.001,743,0.002,2831,3778,0.001,17512,509,0.001,2701,-0.0046,0.0013,-0.0013,-0.39,0.0016,-0.38,0.0023,-0.3,219305,0.51,179168,0.416,3939029,0.893,3472924,0.788,307782,0.826,270979,0.727,67160,0.248,3631247,0.899,3201945,0.793,1721420,0.538,722026,0.93,651747,0.84,487744,0.748,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.007,4432,221,86,4.3,-0.45,-0.22,0.007,8013,400,110,5.5,541569,27030,5825,291,0,17,SustainedHotspot,,High,High,0.083,55733,2782,0,0.99,-0.031,-0.01,-1,0,0.114,56542,2822,1,0.99,478,7.3,0.61,0.09,0.91,0.24,-0.01,-0.01,-0.03,-0.02,-0.07,18,6514,607,1,1,1,1,1640382,0.819,1367057,0.682,488585,0.357,994,0.005,3676,0.002,445,0.003,631,3231,0.002,4579,351,0.001,795,-0.0015,0.0001,-0.0002,-0.16,0.0001,-0.18,-0.0002,-0.3,68414,0.345,45125,0.227,1571716,0.943,1321885,0.793,144783,0.856,119267,0.705,18187,0.152,1426933,0.95,1202618,0.803,470372,0.391,273176,0.95,231867,0.936,138333,0.597,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.826,0.373
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,9,2470546,0.531,0.063,0.007,2,33576,0.014,0.007,4397,178,102,4.1,-0.55,-0.2,0.009,9820,397,127,5.1,610745,24721,6097,247,0,19,SustainedHotspot,,High,High,0.063,65023,2632,,,-0.047,-0.1,,,0.111,72115,2919,,,239,7.1,0.78,0.11,0.77,0.18,-0.29,-0.03,-0.05,-0.02,-0.07,17,3387,414,1,1,1,1,1604148,0.649,1428270,0.578,606422,0.425,1462,0.006,4696,0.002,742,0.003,1227,3954,0.002,9849,450,0.001,1351,-0.0007,-0.0003,-0.0001,-0.15,-0.0003,-0.2,-0.0002,-0.21,55483,0.23,41681,0.173,1548188,0.747,1386443,0.669,129985,0.6,115687,0.534,18605,0.161,1418203,0.764,1270756,0.685,587762,0.463,340991,0.932,304230,0.831,199600,0.656,0.1,0.15,0.15,3.3,0.06,0.5,0,0.07,0.794,0.559
