County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100k - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,"People who have received a booster dose since August 13, 2021",People who have received a booster dose as % of fully vaccinated population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People receiving a booster dose - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People receiving a booster dose - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People receiving a booster dose - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,Booster doses administered - % change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,Booster doses administered - % change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,Booster doses administered - % change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People who have received a booster dose - ages 12-17,People who have received a booster dose as % of fully vaccinated population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People who have received a booster dose - ages 18+,People who have received a booster dose as % of fully vaccinated population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,People who have received a booster dose - ages 65+,People who have received a booster dose as % of fully vaccinated population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.031,11932,119,368,3.7,-0.39,-0.12,0.036,19492,194,418,4.2,2791974,27811,30535,304,0,29,HighBurdenResolving,,High,High,0.011,701362,6986,,,-0.01,-0.23,,,0.021,909194,9057,,,553,7.3,4.1,0.76,0.05,0.73,0.09,-0.28,0,-0.02,-0.02,-0.05,69,13364,1491,0.96,0.96,0.98,0.96,8032871,0.8,7150030,0.712,3546820,0.496,4414,0.005,14970,0.002,1604,0.002,4233,13366,0.002,46435,1495,0.001,5000,-0.0011,-0.0003,-0.0002,-0.27,-0.0003,0.08,-0.0002,-0.12,330433,0.393,267788,0.319,7698905,0.893,6880621,0.798,636624,0.878,574303,0.792,134701,0.235,7062281,0.895,6306318,0.799,3411799,0.541,1335036,0.944,1202046,0.85,893096,0.743,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Douglas County, NE",31055,Medium metro,"Omaha-Council Bluffs, NE-IA",Metropolitan,NE,7,571327,0.602,0.295,0.002,2,20106,0.035,0.018,6842,1198,22,3.9,36.18,0.47,0,184,32,15,2.6,148354,25967,1009,177,3,32,EmergingHotspot,Continuing,High,High,0.08,2877,504,1,0.98,-0.033,0.16,0,0.01,0.113,2480,434,1,0.97,29,7.9,3.2,0.85,0.08,0.81,0.08,-0.36,0,-0.03,-0.05,-0.03,9,904,112,0.95,0.95,1,0.95,407791,0.714,374371,0.655,186155,0.497,202,0.004,600,0.001,95,0.002,267,505,0.001,1372,40,0.001,161,-0.0001,-0.0001,0.0001,-0.33,-0.0002,-0.07,0,-0.16,22780,0.402,19092,0.337,384957,0.814,355268,0.752,35103,0.746,31921,0.679,8237,0.258,349854,0.822,323347,0.76,177877,0.55,72823,0.949,70291,0.916,52382,0.745,0.1,0.13,0.13,2.5,0.11,0.13,0,0.04,0.467,0.169
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.013,5162,155,46,1.4,-0.31,-0.19,0.014,7514,225,57,1.7,788868,23631,5034,151,0,29,SustainedHotspot,,High,High,0.048,90352,2707,,,-0.015,-0.18,,,0.062,109921,3293,,,252,8,4.6,0.74,0.08,0.75,0.14,-0.19,-0.01,-0.02,-0.01,-0.04,20,5445,600,1,1,1,1,3430302,0.95,2308459,0.692,677047,0.293,846,0.003,-36677,-0.013,-5946,-0.026,6305,-30731,-0.012,37563,-5386,-0.011,4241,-0.0095,-0.0186,-0.0343,31.5,-0.0173,13.75,-0.0153,9.19,146964,0.527,100200,0.36,3281867,0.95,2207782,0.773,239558,0.95,170189,0.731,21744,0.128,3042309,0.95,2037593,0.777,655207,0.322,645885,0.95,408046,0.842,187777,0.46,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.012,4824,108,51,1.1,-0.42,-0.82,0.015,8248,184,286,6.4,1248818,27842,15761,351,0,26,SustainedHotspot,,High,High,0.066,54681,1219,1,0.99,-0.035,-0.18,0,0,0.1,66940,1492,1,0.99,488,13,6.4,0.76,0.06,0.71,0.1,-0.29,-0.01,-0.02,0,-0.03,38,7667,905,1,1,1,1,2963150,0.661,2523242,0.563,980713,0.389,1563,0.004,5740,0.002,822,0.002,1206,4918,0.001,9318,518,0.001,1895,-0.0006,-0.0001,-0.0002,-0.26,-0.0001,-0.18,0,-0.12,108468,0.264,73746,0.179,2854381,0.752,2449464,0.645,216497,0.593,180665,0.495,33712,0.187,2637884,0.768,2268799,0.661,946686,0.417,665877,0.95,581951,0.836,335411,0.576,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"Ada County, ID",16001,Medium metro,"Boise City, ID",Metropolitan,ID,10,481587,0.643,0.269,0.001,1,13991,0.029,0.012,4798,996,5,1,-0.22,-0.64,0.012,6157,1278,14,2.9,129232,26835,989,205,0,0,SustainedHotspot,,High,High,0.055,6483,1346,0,0.97,-0.064,-0.28,0,0.01,0.119,9015,1872,0,0.97,18,6.2,4.1,0.79,0.09,0.83,0.18,-0.4,0,-0.05,0,-0.08,4,444,50,1,1,1,1,340957,0.708,306171,0.636,140564,0.459,67,0.002,495,0.001,35,0.001,0,460,0.001,917,53,0.001,172,-0.0011,0,-0.0003,-1,0,-0.1,0,0.04,14155,0.323,12466,0.285,326793,0.796,293693,0.715,24446,0.599,21750,0.533,14,0.001,302347,0.817,271943,0.735,140550,0.517,73465,0.95,68095,0.946,48589,0.714,0.08,0.11,0.15,2.6,0.01,0.09,0.01,0.03,0.137,0.02
"Pierce County, WA",53053,Large fringe metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,10,904980,0.227,0.119,0.003,0,12697,0.014,0.012,4760,526,29,3.2,1.26,0.04,0.004,2104,232,28,3.1,188080,20783,1318,146,1,28,SustainedHotspot,Recent,High,High,0.078,13208,1459,,,-0.014,-0.01,,,0.093,13286,1468,,,117,12.9,7.7,0.8,0.14,0.91,0.15,-0.25,-0.01,-0.02,-0.02,-0.02,6,1522,190,1,1,1,1,649456,0.718,585003,0.646,254483,0.435,389,0.005,1142,0.001,137,0.002,331,1005,0.001,2502,103,0.001,420,-0.0025,-0.0004,-0.0014,-0.45,-0.0003,-0.3,-0.0003,-0.29,25114,0.3,19904,0.238,624263,0.819,565086,0.742,46111,0.685,41624,0.618,9428,0.227,578152,0.832,523462,0.754,244972,0.468,124930,0.95,115745,0.901,81674,0.706,0.07,0.11,0.14,2.6,0.07,0.11,0.01,0.07,0.487,0.257
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.011,4449,86,102,2,0.02,-0.21,0.008,4372,85,129,2.5,1113031,21611,14099,274,0,37,ModerateBurdenResolving,,Substantial,Substantial,0.01,272834,5298,0,0.99,-0.006,-0.05,0,0,0.016,288675,5605,0,0.99,248,6.6,2.8,0.75,0.03,0.7,0.06,-0.18,0,-0.01,0.01,-0.02,35,8813,1047,0.98,0.98,1,1,4191077,0.814,3686194,0.716,1822180,0.494,5820,0.014,31849,0.007,4257,0.011,3291,27592,0.007,24281,2791,0.004,3981,0.0086,0.0063,0.0098,0.1,0.006,0.43,0.003,0.59,224732,0.522,187849,0.437,3963897,0.899,3497186,0.793,311052,0.834,275082,0.738,71211,0.259,3652845,0.905,3222104,0.798,1750691,0.543,724478,0.933,653739,0.842,492500,0.753,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Chittenden County, VT",50007,Small metro,"Burlington-South Burlington, VT",Metropolitan,VT,1,163774,0.743,0.262,0,1,16241,0.099,0.011,4431,2706,2,1.2,16.44,0,0,254,155,2,1.2,29905,18260,158,96,4,0,SustainedHotspot,Continuing,High,High,0.032,10111,6174,1,1,0.002,-0.24,0,0,0.03,13258,8095,1,1,7,7,3,0.82,0.02,0.87,0.04,-0.31,0.02,-0.02,0.07,-0.01,1,245,21,1,1,1,1,136146,0.831,119838,0.732,73152,0.61,24,0.002,119,0.001,14,0.001,53,105,0.001,266,13,0.001,41,-0.0006,0.0005,0.0008,-0.28,0.0005,-0.22,0.0006,-0.25,7511,0.689,6649,0.61,128559,0.884,113183,0.778,8707,0.855,7996,0.786,4077,0.51,119852,0.886,105187,0.778,69057,0.657,24666,0.95,22883,0.898,19161,0.837,0.03,0.12,0.16,2.3,0.02,0.02,0,0.05,0.183,0.018
"Alameda County, CA",6001,Large central metro,"San Francisco-Oakland-Berkeley, CA",Metropolitan,CA,9,1671329,0.353,0.042,0.005,2,53244,0.032,0.011,4290,257,46,2.8,0.87,1.09,0.004,2295,137,22,1.3,265488,15885,1759,105,0,28,HighBurdenResolving,,High,High,0.029,69734,4172,,,-0.007,-0.2,,,0.036,87404,5230,,,73,7.4,5.3,0.7,0.05,0.73,0.1,-0.12,0,-0.02,0.01,-0.05,7,1372,146,1,1,1,1,1499145,0.897,1356890,0.812,804441,0.593,700,0.005,1387,0.001,179,0.002,1531,1208,0.001,8803,116,0,872,-0.0024,-0.0017,-0.0027,-0.21,-0.0016,-0.02,-0.001,-0.19,93862,0.704,83082,0.623,1403986,0.95,1273150,0.882,113811,0.95,105168,0.939,42975,0.409,1290175,0.95,1167982,0.877,761364,0.652,241327,0.95,222660,0.933,177086,0.795,0.05,0.11,0.14,2.8,0.1,0.22,0,0.32,0.47,0.243
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.011,4273,189,132,5.8,1.49,0.52,0.003,1714,76,87,3.8,511645,22572,7538,333,0,29,EmergingHotspot,,High,Substantial,0.053,31155,1374,1,0.95,-0.02,-0.06,0,-0.02,0.073,33016,1457,1,0.97,204,10,4.1,0.78,0.05,0.83,0.12,-0.31,-0.01,-0.02,-0.01,-0.04,26,4957,543,0.88,0.88,1,0.88,1598915,0.705,1285403,0.567,471216,0.367,535,0.003,3438,0.002,398,0.002,372,3040,0.002,3917,383,0.001,813,-0.0017,-0.0002,-0.0007,-0.29,-0.0001,-0.2,-0.0001,-0.13,44924,0.219,33249,0.162,1553936,0.809,1252146,0.652,112307,0.639,86365,0.491,11891,0.138,1441629,0.826,1165781,0.668,459298,0.394,332118,0.95,270958,0.791,163443,0.603,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.634
