County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,COVID-19 Community Level - last 7 days,COVID-19 Community Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100k - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,"People who have received a booster dose since August 13, 2021",People who have received a booster dose as % of fully vaccinated population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People receiving a booster dose - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People receiving a booster dose - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People receiving a booster dose - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,Booster doses administered - % change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,Booster doses administered - % change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,Booster doses administered - % change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People who have received a booster dose - ages 12-17,People who have received a booster dose as % of fully vaccinated population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People who have received a booster dose - ages 18+,People who have received a booster dose as % of fully vaccinated population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,People who have received a booster dose - ages 65+,People who have received a booster dose as % of fully vaccinated population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.108,18803,830,20,0.9,9.96,-0.68,0.006,1715,76,62,2.7,533423,23533,7673,339,3,0,Hotspot,Continuing,Medium,Low,0.034,23811,1050,1,0.93,-0.007,-0.18,0,0,0.042,28953,1277,1,0.93,107,4.7,1.9,0.76,0.02,0.79,0.05,-0.21,0,-0.01,0,-0.01,26,4952,528,0.88,0.88,1,0.88,1606912,0.709,1292952,0.57,480025,0.371,338,0.002,2313,0.001,256,0.001,261,2057,0.001,2914,281,0.001,624,-0.0005,-0.0002,-0.0004,-0.12,-0.0002,-0.01,0,0.01,46088,0.224,35322,0.172,1560761,0.812,1257622,0.654,113110,0.643,87385,0.497,12653,0.145,1447651,0.829,1170237,0.67,467341,0.399,332856,0.95,271490,0.792,165107,0.608,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.634
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.068,11829,118,185,1.8,0.38,-0.33,0.031,8545,85,275,2.7,2817558,28066,31219,311,0,48,ModerateBurdenResolving,,Low,Low,0.006,730649,7278,,,-0.001,0.25,,,0.007,583520,5812,,,351,3.5,2,0.76,0.03,0.72,0.04,-0.22,0,-0.01,0.01,-0.01,69,13228,1449,0.96,0.96,0.98,0.96,8072882,0.804,7187895,0.716,3633035,0.505,2672,0.003,9966,0.001,922,0.001,3461,9044,0.001,27327,1106,0.001,3614,-0.0001,-0.0001,-0.0001,0.09,-0.0001,0.01,0,0.07,338841,0.404,279834,0.333,7729618,0.897,6905639,0.801,639545,0.882,577605,0.797,144329,0.25,7090073,0.898,6328034,0.802,3488322,0.551,1338269,0.947,1204375,0.852,902817,0.75,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.025,4320,92,28,0.6,1.39,-0.47,0.007,1804,38,53,1.1,1001007,21238,10819,230,1,54,EmergingHotspot,New,Low,Low,0.018,78848,1673,0,0.95,-0.002,0,0,0.03,0.021,78967,1675,0,0.91,294,6.2,3.2,0.88,0.03,0.91,0.06,-0.15,0,-0.01,0,-0.01,39,6739,736,0.92,0.89,0.94,0.92,3485482,0.739,2971339,0.63,1034234,0.348,1412,0.003,4403,0.001,673,0.002,1308,3730,0.001,7712,336,0.001,1144,0.0002,-0.0003,-0.0001,0.28,-0.0003,-0.14,-0.0009,-0.54,139336,0.286,103225,0.212,3345464,0.863,2867890,0.74,302052,0.736,252657,0.616,36565,0.145,3043412,0.878,2615233,0.754,997568,0.381,512172,0.95,457894,0.891,276522,0.604,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.024,4168,125,30,0.9,0.11,-0.25,0.014,3763,113,40,1.2,799283,23943,5138,154,0,48,HighBurdenResolving,,Low,Low,0.023,85786,2570,,,-0.002,-0.02,,,0.024,87237,2613,,,101,3,1.8,0.74,0.04,0.72,0.06,-0.31,0,-0.01,-0.03,-0.03,20,5407,589,1,1,1,1,3487702,0.95,2336798,0.7,687876,0.294,1986,0.007,6896,0.002,629,0.003,332,6267,0.002,3229,792,0.002,541,-0.0064,-0.0068,-0.0114,-0.42,-0.0064,-0.31,-0.0039,-0.19,154685,0.555,106108,0.381,3330941,0.95,2229882,0.781,245326,0.95,173212,0.744,22807,0.132,3085615,0.95,2056670,0.784,664948,0.323,650623,0.95,410185,0.847,189182,0.461,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.019,3389,66,34,0.7,-0.16,-0.37,0.015,4045,79,54,1,1122376,21793,14219,276,0,56,ModerateBurden,,Low,Low,0.009,251954,4892,0,1,0.001,-0.06,0,0.01,0.008,268859,5220,0,0.99,234,4.5,1.9,0.73,0.02,0.67,0.03,-0.03,-0.01,0,-0.01,0,35,8767,1038,0.97,0.97,1,0.98,4210154,0.817,3717456,0.722,1863930,0.501,-25,0,4173,0.001,104,0,1685,4069,0.001,14912,989,0.001,2899,-0.0027,0.0008,0.0012,0.1,0.0008,0.22,0.0009,0.48,229114,0.532,196682,0.457,3977942,0.902,3518942,0.798,312031,0.837,277975,0.746,75813,0.273,3665911,0.908,3240967,0.803,1787780,0.552,726753,0.936,656381,0.846,499055,0.76,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.019,3368,75,311,6.9,-0.25,0.35,0.016,4467,100,230,5.1,1256653,28016,16166,360,0,45,ModerateBurdenResolving,,Low,Medium,0.031,40928,912,1,1,-0.005,-0.14,0,0,0.036,47613,1062,1,0.99,288,6.4,3.2,0.74,0.02,0.65,0.03,-0.27,-0.01,-0.01,0,-0.01,38,7586,885,1,1,1,1,2982783,0.665,2546888,0.568,1005065,0.395,2618,0.006,6898,0.002,1293,0.004,1102,5605,0.002,9515,877,0.001,1743,0.0038,0.0007,0.0017,0.09,0.0006,0.43,0.0007,0.26,113186,0.275,83865,0.204,2869266,0.755,2462989,0.648,219053,0.6,183003,0.501,36568,0.2,2650213,0.772,2279986,0.664,968100,0.425,667405,0.95,583153,0.837,339423,0.582,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"New York County, NY",36061,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1628706,0.085,0.084,0.005,11,178189,0.109,0.012,2093,129,8,0.5,0.02,3,0.008,2059,126,2,0.1,408226,25064,5420,333,0,0,Hotspot,,Low,Low,0.023,91524,5619,1,0.99,0.006,-0.09,0,0,0.017,101063,6205,1,0.99,51,3.1,1.2,0.77,0.02,0.75,0.03,0.02,0,0,0.01,-0.01,2,846,80,1,1,1,1,1767756,0.95,1374932,0.844,606259,0.441,282,0.003,2446,0.002,204,0.003,314,2242,0.002,3468,251,0.001,817,0,0.0001,-0.0004,-0.09,0.0001,0.07,0.0002,0.33,60589,0.687,49303,0.559,1706809,0.95,1325571,0.905,86830,0.95,64934,0.95,18517,0.285,1619979,0.95,1260637,0.903,587640,0.466,282062,0.95,241135,0.873,162231,0.673,0.06,0.17,0.17,2.1,0.12,0.26,0,0.13,0.551,0.32
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.133,0.132,0.008,0,15416,0.006,0.012,2038,80,21,0.8,0.04,-0.09,0.007,1953,76,23,0.9,691354,27007,12778,499,0,0,Hotspot,,Low,Low,0.015,131778,5148,1,0.98,0.002,-0.16,0,0.01,0.013,157200,6141,1,0.97,80,3.1,1.2,0.77,0.02,0.75,0.03,0.02,0,0,0.01,-0.01,4,2091,198,1,1,1,1,2187797,0.855,1826299,0.713,688708,0.377,520,0.002,2965,0.001,252,0.001,473,2713,0.001,5375,322,0.001,1095,0.0001,0,0,0.37,0,0.13,0.0002,0.21,86095,0.385,72218,0.323,2101369,0.95,1754030,0.815,132946,0.764,114750,0.66,21448,0.187,1968423,0.95,1639280,0.828,667080,0.407,324510,0.882,286315,0.778,168248,0.588,0.08,0.21,0.14,2.7,0.3,0.19,0,0.12,0.815,0.912
"Orange County, CA",6059,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,3175692,0.24,0.08,0.01,3,81888,0.026,0.011,1970,62,66,2.1,0.48,-0.24,0.005,1332,42,87,2.7,586134,18457,6841,215,0,50,EmergingHotspot,,Low,Low,0.016,59176,1863,,,-0.003,0.01,,,0.018,58858,1853,,,111,3.5,2,0.76,0.03,0.72,0.04,-0.22,0,-0.01,0.01,-0.01,7,1324,145,0.96,0.96,0.98,0.96,2505576,0.789,2263451,0.713,1212733,0.536,744,0.003,2433,0.001,322,0.001,1043,2111,0.001,6299,249,0.001,870,-0.0003,-0.0001,0,-0.06,-0.0002,-0.05,-0.0001,0.05,104871,0.397,88718,0.336,2399120,0.88,2173884,0.797,190029,0.789,174012,0.722,47559,0.273,2209091,0.889,1999872,0.804,1165015,0.583,476630,0.95,433688,0.893,329339,0.759,0.08,0.12,0.15,3,0.02,0.34,0,0.21,0.419,0.466
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.175,0.005,1,25758,0.015,0.011,1960,112,48,2.7,0.87,-0.23,0.004,1046,60,62,3.5,396801,22683,7823,447,1,52,ModerateBurden,Recent,Low,Low,0.018,58521,3345,0,0.99,0,0.03,0,0,0.018,56913,3253,0,1,86,4.9,2,0.79,0.02,0.73,0.05,-0.14,0,0,0,0,7,1738,202,1,1,1,1,1005889,0.575,943903,0.54,466741,0.494,116,0.001,572,0,46,0,168,526,0,1667,89,0,437,0.0001,-0.0002,-0.0001,-0.28,-0.0002,-0.3,0,-0.26,7786,0.049,18476,0.116,998054,0.676,925422,0.627,57617,0.416,59233,0.428,13589,0.229,940437,0.703,866189,0.648,453090,0.523,243342,0.88,225274,0.815,161266,0.716,0.07,0.23,0.16,2.6,0.38,0.06,0,0.04,0.872,0.72
