County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,COVID-19 Community Level - last 7 days,COVID-19 Community Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100k - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,"People who have received a booster dose since August 13, 2021",People who have received a booster dose as % of fully vaccinated population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People receiving a booster dose - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People receiving a booster dose - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People receiving a booster dose - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,Booster doses administered - % change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,Booster doses administered - % change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,Booster doses administered - % change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People who have received a booster dose - ages 12-17,People who have received a booster dose as % of fully vaccinated population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People who have received a booster dose - ages 18+,People who have received a booster dose as % of fully vaccinated population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,People who have received a booster dose - ages 65+,People who have received a booster dose as % of fully vaccinated population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.033,19424,377,15,0.3,0.16,-0.21,0.032,16757,325,19,0.4,1201896,23337,14383,279,3,0,SustainedHotspot,Recent,High,High,Medium,Medium,0.071,228814,4443,0,1,0.01,-0.1,0,0,0.06,254224,4936,0,1,464,9,3.9,0.74,0.03,0.66,0.02,0.1,0.01,0,0.01,0,35,8689,1032,0.97,0.97,1,0.98,4233776,0.822,3780581,0.734,1984932,0.525,377,0.001,1141,0,275,0.001,1015,866,0,18602,,,3552,0.0008,-0.0004,,0.15,-0.0006,-0.24,,-0.38,229448,0.533,201918,0.469,3999392,0.907,3575272,0.811,311282,0.835,281299,0.754,84553,0.301,3688110,0.914,3293973,0.816,1899645,0.577,733035,0.944,668906,0.862,525345,0.785,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.031,18598,185,30,0.3,0.18,0.15,0.03,15752,157,26,0.3,2898333,28870,31768,316,2,0,Hotspot,,High,High,Low,Low,,563416,5612,,,,-0.33,,,0.023,842151,8389,,,328,3.3,1.9,0.75,0.02,0.69,0.02,0.03,0.01,0,0,0,68,12928,1416,0.96,0.96,0.99,0.96,8141686,0.811,7282352,0.725,3853067,0.529,225,0,,,,,3497,,,42372,,,8518,-0.0015,,,0.8,,1.17,,0.57,351799,0.419,297763,0.355,7782957,0.903,6980010,0.81,643432,0.888,583627,0.805,164177,0.281,7139525,0.904,6396383,0.81,3687910,0.577,1350680,0.95,1221372,0.864,954032,0.781,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.133,0.132,0.008,0,15416,0.006,0.014,8189,320,20,0.8,-0.03,1.86,0.016,8419,329,7,0.3,732761,28625,12855,502,2,0,SustainedHotspot,Recent,High,High,Medium,Medium,0.092,104865,4096,1,0.99,0.022,0.11,1,0,0.07,94302,3684,0,0.99,228,8.9,3.4,0.78,0.04,0.74,0.04,0.06,0.01,0,0.01,0.01,4,2076,196,1,1,1,1,2210706,0.864,1851135,0.723,722073,0.39,298,0.001,2628,0.001,220,0.001,293,2408,0.001,3326,359,0.001,814,0.0002,0.0002,0.0002,0.14,0.0002,0.08,0.0001,0.01,88647,0.396,75754,0.339,2121665,0.95,1775312,0.825,134562,0.774,116369,0.669,24150,0.208,1987103,0.95,1658943,0.838,697711,0.421,327544,0.89,290754,0.79,175855,0.605,0.08,0.21,0.14,2.7,0.3,0.19,0,0.12,0.815,0.912
"Middlesex County, MA",25017,Large fringe metro,"Boston-Cambridge-Newton, MA-NH",Metropolitan,MA,1,1611699,0.331,0.234,0.005,6,90325,0.056,0.013,7675,476,12,0.7,0.29,1,0.011,5972,371,6,0.4,355421,22053,4000,248,0,0,SustainedHotspot,,High,High,High,High,0.085,68543,4253,1,1,0.015,-0.21,0,0,0.07,87165,5408,1,1,218,13.5,5.2,0.85,0.04,0.81,0.05,0.16,0,0.01,-0.01,0.01,7,1722,139,0.98,0.98,1,0.98,1566791,0.95,1289513,0.8,726736,0.564,177,0.001,3180,0.002,124,0.001,288,3056,0.002,2964,1125,0.004,1149,0.0003,0,0,0.1,0,0.01,-0.0011,-0.13,90604,0.74,77087,0.63,1473958,0.95,1210984,0.862,114354,0.95,96377,0.887,40581,0.421,1359604,0.95,1114607,0.86,685803,0.615,288144,0.95,236624,0.938,177018,0.748,0.03,0.08,0.16,2.6,0.05,0.08,0,0.13,0.226,0.296
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2253858,0.117,0.116,0.007,2,29190,0.013,0.013,7599,337,9,0.4,0,0.12,0.015,7610,338,8,0.4,671550,29796,11882,527,2,0,SustainedHotspot,Recent,High,High,Medium,Medium,0.094,104315,4628,1,0.99,0.022,0.16,1,0,0.072,89649,3978,0,0.99,201,8.9,3.4,0.78,0.04,0.74,0.04,0.06,0.01,0,0.01,0.01,3,1609,152,1,1,1,1,2375703,0.95,1957921,0.869,751154,0.384,301,0.002,2762,0.001,204,0.001,310,2558,0.001,3489,662,0.002,1060,0.0003,0.0002,0.0002,0.18,0.0002,0.09,0.0001,0.11,97564,0.562,82623,0.476,2277873,0.95,1875246,0.95,150577,0.95,131380,0.933,27084,0.206,2127296,0.95,1743866,0.95,723824,0.415,398418,0.95,332302,0.902,192646,0.58,0.11,0.13,0.16,2.9,0.18,0.28,0,0.26,0.62,0.832
"King County, WA",53033,Large central metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,10,2252782,0.566,0.296,0.007,3,65772,0.029,0.013,7460,331,20,0.9,0.01,0.54,0.014,7357,327,13,0.6,413357,18349,2767,123,1,0,SustainedHotspot,Recent,High,High,Medium,Medium,0.144,50224,2229,,,0.003,-0.04,,,0.141,52256,2320,,,156,6.9,4.5,0.84,0.04,0.72,0.03,0.18,0,0,0,-0.01,12,2168,250,1,1,1,1,2010856,0.893,1832440,0.813,1113278,0.608,424,0.002,3092,0.002,132,0.001,470,2960,0.002,3681,606,0.002,882,-0.0001,0.0006,0.0001,0.03,0.0007,-0.01,0.0003,-0.02,113717,0.637,102488,0.574,1896343,0.95,1729874,0.889,138653,0.95,130372,0.895,57283,0.439,1757690,0.95,1599502,0.888,1055345,0.66,306874,0.95,286828,0.943,241896,0.843,0.06,0.1,0.14,2.5,0.07,0.1,0.01,0.19,0.285,0.282
"Nassau County, NY",36059,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1356924,0.071,0.07,0.004,4,39330,0.029,0.011,6534,482,10,0.7,0.17,1,0.011,5601,413,5,0.4,429148,31627,3857,284,2,0,SustainedHotspot,Continuing,High,High,High,Medium,0.148,35986,2652,1,0.99,0.017,0.01,0,0,0.132,35530,2618,1,0.99,195,14.4,7,0.75,0.06,0.66,0.04,0.21,0.01,0.01,0.03,0.01,4,1325,158,1,1,1,1,1337050,0.95,1118179,0.824,483740,0.433,151,0.001,1655,0.001,170,0.002,209,1485,0.001,1842,477,0.002,623,0,0.0003,0.0004,-0.02,0.0003,0.13,0.0004,0.04,50282,0.445,43636,0.386,1286557,0.95,1074500,0.919,93153,0.897,82176,0.792,19936,0.243,1193404,0.95,992324,0.931,463649,0.467,301595,0.95,248711,0.95,145816,0.586,0.05,0.06,0.18,3,0.12,0.17,0,0.11,0.243,0.174
"New York County, NY",36061,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1628706,0.085,0.084,0.005,11,178189,0.109,0.01,6193,380,4,0.2,-0.12,-0.5,0.013,6998,430,8,0.5,447980,27505,5464,335,0,0,SustainedHotspot,,High,High,Medium,Medium,0.081,77390,4752,1,0.99,0,-0.02,0,0,0.081,79043,4853,1,0.99,145,8.9,3.4,0.78,0.04,0.74,0.04,0.06,0.01,0,0.01,0.01,2,840,79,1,1,1,1,1791319,0.95,1403310,0.862,635673,0.453,254,0.003,3110,0.002,174,0.003,272,2936,0.002,3044,546,0.002,891,0.0001,0.0006,0.0005,0.05,0.0006,0.11,0.0001,0,62555,0.709,51637,0.585,1728354,0.95,1351605,0.923,88091,0.95,65867,0.95,20653,0.314,1640263,0.95,1285738,0.921,614885,0.478,287208,0.95,250664,0.908,171630,0.685,0.06,0.17,0.17,2.1,0.12,0.26,0,0.13,0.551,0.32
"Suffolk County, NY",36103,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1476601,0.077,0.076,0.004,2,29422,0.02,0.01,5870,398,19,1.3,0.18,3.75,0.01,4954,336,4,0.3,448264,30358,4408,299,3,0,SustainedHotspot,Continuing,High,High,High,Medium,0.131,31340,2122,1,0.99,0.016,-0.04,0,0,0.114,32680,2213,1,0.99,212,14.4,7,0.75,0.06,0.66,0.04,0.21,0.01,0.01,0.03,0.01,5,1569,187,1,1,1,1,1267527,0.858,1125049,0.762,525536,0.467,119,0.001,1524,0.001,162,0.001,210,1362,0.001,1976,404,0.002,709,0.0001,0.0002,0.0001,0.4,0.0002,0.16,0.0001,0.26,36597,0.314,32382,0.278,1230749,0.95,1092636,0.853,81777,0.721,74233,0.655,16831,0.227,1148972,0.95,1018403,0.872,508592,0.499,283263,0.95,247382,0.95,166647,0.674,0.05,0.07,0.17,3,0.07,0.2,0,0.04,0.215,0.282
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.175,0.005,1,25758,0.015,0.01,5658,323,20,1.1,0.37,0.54,0.008,4124,236,13,0.7,416547,23812,7973,456,6,0,SustainedHotspot,,High,High,High,Medium,0.093,54088,3092,0,0.98,-0.041,0.23,0,0.02,0.134,44091,2520,0,0.96,211,12,4.9,0.81,0.04,0.77,0.04,0.22,0.01,0.01,-0.01,0,7,1705,195,0.98,0.98,1,0.98,1011177,0.578,951765,0.544,479950,0.504,49,0,541,0,28,0,112,513,0,1195,122,0,423,0,-0.0002,-0.0001,0.03,-0.0002,-0.15,-0.0007,-0.17,8300,0.052,19858,0.125,1002825,0.68,931902,0.632,57952,0.418,59853,0.432,14551,0.243,944873,0.707,872049,0.652,465330,0.534,244599,0.885,227067,0.821,165613,0.729,0.07,0.23,0.16,2.6,0.38,0.06,0,0.04,0.872,0.72
